"Year","Site_code","Location","Mesh","Leaf","Rep","ID","AFDM","Acari","Asellidae","Baetidae","Caloptyerigidae","Chironomidae","Dytiscidae","Elmidae","Gammaridae","Hirudinea","Limnephilidae","Lymnaeidae","Nemouridae","Oligochaete","Other","Planorbidae","Rhyacophilidae","Simuliidae","Tipulidae"
2013,"BUT","D","Coarse","Alder",1,13,0.97,0,1,0,1,0,0,0,11,0,0,3,1,0,0,0,0,0,0
2013,"BUT","D","Coarse","Alder",2,14,1.07,0,0,0,0,40,0,0,34,0,0,15,0,0,15,0,0,0,0
2013,"BUT","D","Coarse","Alder",3,15,1.45,0,0,0,0,10,0,0,27.00000001,0,4.000000001,7,0,0,7,0,0,0,0
2013,"BUT","D","Coarse","Alder",4,16,1.3,0,0,0,1,19.99999999,0,0,4,0,0,0,1.999999999,3,0,0,0,0,0
2013,"BUT","D","Coarse","Alder",5,17,0.86,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
2013,"BUT","D","Coarse","Alder",6,18,0.79,0,0,0,0,20,0,0,13,0,1,8.999999997,0,0,0,0,0,0,0
2013,"BUT","U1","Coarse","Alder",1,37,1.05,0,0,1,0,30,0,0,3,0,1,0,0,0,2,0,0,0,0
2013,"BUT","U1","Coarse","Alder",2,38,0.53,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2013,"BUT","U1","Coarse","Alder",3,39,1.33,0,0,0,0,40,0,0,5,0,3.999999998,1.999999999,1.999999999,0,0,0,0,0,0
2013,"BUT","U1","Coarse","Alder",4,40,0.29,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0
2013,"BUT","U1","Coarse","Alder",5,41,1.42,0,0,0,0,15,0,0,3,0,1,0,0,0,2,0,0,0,0
2013,"BUT","U1","Coarse","Alder",6,42,1.38,0,0,0,0,29.99999999,0,0,6,0,4.000000001,0,0,0,2.999999999,4.000000001,0,0,0
2013,"BUT","U2","Coarse","Alder",1,61,0.16,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2013,"BUT","U2","Coarse","Alder",2,62,0.13,0,1,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0
2013,"BUT","U2","Coarse","Alder",3,63,1.35,0,0,0,0,30,0,0,0,0,1,0,0,0,5.999999999,0,0,0,0
2013,"BUT","U2","Coarse","Alder",4,64,1.08,0,0,0,0,10,0,0,1,0,0,1,0,1,0,0,0,0,0
2013,"BUT","U2","Coarse","Alder",5,65,0.48,0,0,0,0,9.999999998,0,0,3,0,0,0,1,0,0,0,0,0,0
2013,"BUT","U2","Coarse","Alder",6,66,0.38,0,0,0,0,2,0,0,2,0,0,2,0,0,1,0,0,0,0
2013,"COL","D","Coarse","Alder",1,85,2.39,0,0,0,0,50,0,0,1,0,1,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Alder",2,86,2.33,0,0,0,0,50.00000001,0,0,0.999999999,0,0.999999999,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Alder",3,87,1.33,0,0,0,0,50,0,0,31,0,1,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Alder",4,88,2.57,0,0,0,0,20,0,0,7.000000001,0,0,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Alder",5,89,2.09,0,0,0,0,0,0,0,55.99999999,1.000000001,2,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Alder",6,90,1.99,0,0,0,0,100,0,0,11,0,0,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Alder",1,109,1.96,0,0,0,0,19.99999999,0,0,31,0,0,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Alder",2,110,2.31,0,0,0,1,20,0,0,1,0,2,0,0,0,5.000000001,0,0,0,0
2013,"COL","U1","Coarse","Alder",3,111,2.08,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Alder",4,112,2.25,0,0,0,0,99.99999999,0,0,3,0,0,0,4.000000001,0,0,0,0,0,0
2013,"COL","U1","Coarse","Alder",5,113,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Alder",6,114,1.4,0,0,0,0,40,0,0,8,0,3,0,0,0,2.000000001,0,0,0,0
2013,"COL","U2","Coarse","Alder",1,133,1.36,0,0,0,0,25,0,0,8,0,4.000000001,0,0,0,0,0,0,0,0
2013,"COL","U2","Coarse","Alder",2,134,2.22,0,0,0,0.999999999,74.99999999,0,0,5,0,0,0,0,0,0,0,0,0,0
2013,"COL","U2","Coarse","Alder",3,135,2.29,0,0,0,0,59.99999999,0,0,3,0,3,0,0,0,1.999999999,0,0,0,0
