"Taxa_code","Size_1","Size_2","Size_3","Size_4","Size_5","Size_6","Size_7","Lifecycle_1","Lifecycle_2","Fecundity_1","Fecundity_2","Fecundity_3","Lifestages_1","Lifestages_2","Lifestages_3","Lifestages_4","Reproduction_1","Reproduction_2","Reproduction_3","Reproduction_4","Reproduction_5","Reproduction_6","Reproduction_7","Reproduction_8","Dispersal_1","Dispersal_2","Dispersal_3","Dispersal_4","Resistance_1","Resistance_2","Resistance_3","Resistance_4","Resistance_5","Respiration_1","Respiration_2","Respiration_3","Respiration_4","Respiration_5","Movement_1","Movement_2","Movement_3","Movement_4","Movement_5","Movement_6","Movement_7","Movement_8","Food_1","Food_2","Food_3","Food_4","Food_5","Food_6","Food_7","Food_8","Food_9","Feeding_1","Feeding_2","Feeding_3","Feeding_4","Feeding_5","Feeding_6","Feeding_7","Feeding_8","Transversal_1","Transversal_2","Transversal_3","Transversal_4","Transversal_5","Transversal_6","Transversal_7","Longitudinal_1","Longitudinal_2","Longitudinal_3","Longitudinal_4","Longitudinal_5","Longitudinal_6","Longitudinal_7","Longitudinal_8","Elevation_1","Elevation_2","Elevation_3","Substrate_1","Substrate_2","Substrate_3","Substrate_4","Substrate_5","Substrate_6","Substrate_7","Substrate_8","Substrate_9","Current_1","Current_2","Current_3","Current_4","Trophic_1","Trophic_2","Trophic_3","Salinity_1","Salinity_2","Temperature_1","Temperature_2","Temperature_3","Saprobity_1","Saprobity_2","Saprobity_3","Saprobity_4","Saprobity_5","pH_1","pH_2","pH_3","pH_4","pH_5","pH_6"
"Acari",3,1,1,0,0,0,0,1,0,0,1,3,1,2,2,2,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,3,2,0,0,3,0,0,0,1,2,0,0,0,0,0,2,0,1,2,1,2,3,1,0,1,2,0,0,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,0,5,1,1,4,1,1,1,1,0,1,1,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"Asellidae",0,0,0,3,0,0,0,3,1,0,1,3,3,3,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,3,0,2,0,0,0,1,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,3,5,3,0,0,2,0,2,2,2,2,2,2,2,2,3,0,0,1,1,1,0,5,3,2,3,1,3,3,0,0,1,3,2,3,2,0,0,3,0,0,2,3,1,1,1,1,2,3,3
"Baetidae",0,0,3,0.142857142857143,0,0,0,3,0,0,1.71428571428571,2.14285714285714,3,3,0,0,0.428571428571429,0.142857142857143,1.57142857142857,1.28571428571429,0,0,0,0,2,1.85714285714286,1,2.14285714285714,1.28571428571429,0,0,0,1.85714285714286,1,2,0,0,0,0,0,2.71428571428571,1.85714285714286,0.142857142857143,0.142857142857143,0,0,0,1.57142857142857,0.571428571428571,2.57142857142857,0.428571428571429,0.142857142857143,0.285714285714286,0.714285714285714,0,0,1.28571428571429,0.571428571428571,2.28571428571429,0,0,0.428571428571429,0,1.28571428571429,2.42857142857143,0.857142857142857,0,0.714285714285714,1,0,0.714285714285714,1.57142857142857,2.14285714285714,3.28571428571429,2.28571428571429,0.714285714285714,0.142857142857143,1.42857142857143,3,1,0.285714285714286,1.71428571428571,0.857142857142857,1.28571428571429,0.428571428571429,2.71428571428571,0,0.571428571428571,0.714285714285714,0.142857142857143,0.714285714285714,1.57142857142857,1.28571428571429,0.428571428571429,1.14285714285714,2.57142857142857,1.57142857142857,3,0.428571428571429,0,0.285714285714286,3,0.285714285714286,1,2.57142857142857,1.42857142857143,0,0.142857142857143,0.285714285714286,0.571428571428571,1,1.71428571428571,3
"Caloptyerigidae",0,0,0,1,3,1,0,2,2,1,3,0,3,3,0,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,2,2,1,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,3,1,2,0,3,0,1,1,3,3,3,3,0,2,3,2,0,2,3,1,1,4,0,4,4,1,1,2,2,1,2,3,1,3,0,0,0,3,0,1,3,2,0,0,0,0,3,3,3
"Chironomidae",0,0.8,2.6,1.2,0.4,0,0,3,0,0,1.6,1.8,0.2,2.8,3,0,0.4,0,0,1.2,2.6,0,0.4,0,1.8,1,1.8,1,0,0,0,0.4,3,3,1,0,0,0,0,0,1.6,2.6,1.4,1,1,0,0.2,2.4,0.4,2,0.6,0.2,1.6,1.2,0,0,1.4,0.8,1.6,0.8,0,1.4,0.4,0.2,2.8,1.4,0.8,1.4,2.2,0,1.8,2,1.6,1.6,1.6,1.4,0.6,2.6,2,1.8,1,2.8,1.4,2,1.2,3.6,0.4,1.2,1.2,2.2,1.4,1.4,1.4,1.4,1,1.8,1.6,3,1,2,0.8,2.4,1.2,2.6,2.4,1.4,0.6,1.4,1.8,2.2,2.4,2.4,2.4
"Dytiscidae",0,0,0.166666666666667,2,1,0.166666666666667,0,0,3,0,3,0,3,3,0,2,0,0,0,0.5,0,2.5,0,0,0,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0.666666666666667,3,1.66666666666667,0,0,3,0,0,3,0,0,0,0.166666666666667,2.83333333333333,2.83333333333333,0,1,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,4.83333333333333,3,0.166666666666667,0.166666666666667,0,0,0,0,3,0,0,3,3,3,0,0,0,0,1,3,3,0.166666666666667,0,0.166666666666667,3,0,0.166666666666667,1.66666666666667,2.33333333333333,0,0.333333333333333,0.333333333333333,1.16666666666667,1.83333333333333,1.83333333333333,3
"Elmidae",0,2.7,0.3,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,1.8,1,0,2.1,0,0,0,0,3,1,3,2.8,0.3,0,1.1,0,0,3.9,0.4,0.6,0,0,0,0.9,0.3,3,0,0,0,0,0,0,0,1.2,3,0,0,0,0,3,3,0,0,0,0,0,0.8,2.3,2.5,2.9,1.6,0.3,0,0,3,0.7,0.1,2.5,2.5,1.5,0.4,2,0,0.5,0,0,0,2.9,2.7,2,2.5,2.2,0,3,0,0.4,0,3,0.2,1.4,1.8,0.2,0,0,0.1,0.5,0.7,0.9,2.9
"Gammaridae",0,0,0,1,2.5,0,0,2,1.5,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,2.5,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2.5,2.5,0,1,0,0,0,1,3.5,2.5,1,2,2,3,0,0,0,3.5,1,0,0,0.5,0,3.5,4,0.5,0,0.5,2,0,1,1,1,1,2.5,3.5,3.5,1,3,1.5,0,5,2.5,1,0.5,4,1,4.5,3.5,0,1,2.5,2.5,0.5,1.5,2.5,1,3,1.5,0.5,0.5,3,0.5,1.5,3,1.5,0,0.5,0.5,1,1,1.5,3
"Hirudinea",0,0,0,0,0,3,1,0,3,3,0,0,1,3,0,2,0,0,0,3,0,0,2,0,3,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,1,2,2,0,0,0,0,1,1,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,2,2,2,0,1,3,0,3,1,0,0,3,0,0,1,3,0,0,0,1,1,2,2
"Limnephilidae",0,0,0.444444444444444,2.22222222222222,1.22222222222222,0,0,1.88888888888889,0.166666666666667,0.166666666666667,2.5,0,2.55555555555556,3,2.88888888888889,0,0,0,0,2,0,0,0.5,0,0.444444444444444,1.72222222222222,0,2.22222222222222,0.111111111111111,0,0,0.722222222222222,1.33333333333333,2.33333333333333,2.11111111111111,0,0,0,0,0,0,5,0,0,0,0,0.0555555555555556,0.166666666666667,2.61111111111111,1.22222222222222,2.22222222222222,0.111111111111111,0.0555555555555556,0.555555555555556,0,0,0.111111111111111,2.77777777777778,0.888888888888889,0,0,0.166666666666667,0,1.22222222222222,1.33333333333333,0.888888888888889,0.555555555555556,0.611111111111111,1.11111111111111,0,1.22222222222222,2.72222222222222,2.5,1.22222222222222,0.611111111111111,0.333333333333333,0.111111111111111,1.44444444444444,2.22222222222222,1.5,0.555555555555556,2.11111111111111,0.944444444444444,0.722222222222222,0.0555555555555556,1.61111111111111,0.222222222222222,0.388888888888889,1.77777777777778,0.333333333333333,1,2.11111111111111,1.33333333333333,1.5,1.27777777777778,0.611111111111111,0.222222222222222,3,0.166666666666667,0.833333333333333,0,1.22222222222222,1.44444444444444,2.55555555555556,1.88888888888889,0.388888888888889,0,0.111111111111111,0.111111111111111,1,2.16666666666667,2.38888888888889,2.77777777777778
"Lymnaeidae",0,0,0,1.4,2,0.6,0,2.8,1,0.2,2.4,0.8,3,0,0,2.2,0,0,0,3,0.2,0,0,0,2,1.2,0,0,0,0,0,1.4,0,3,0,0,0,0,0,0.4,0,3,0,0,0,0,0,0.4,2.4,3.2,2.2,1.4,0.6,0.6,0,0,0,1,3,0,0,0.4,0,0,2.8,3,1.2,1.4,0.6,0,0.6,1.4,1.6,1.8,2.6,1.2,0,3.6,3,1.6,0.6,2,1,0.4,0.4,4.2,0.8,0.4,0.4,2.8,2.6,1.8,0.8,0,0.4,2.4,1,3,1.6,0,0.4,3,0.2,1,2.8,1,0.2,0.2,0.4,0.8,1.4,1.8,2.8
"Nemouridae",0,0.5,3,0.25,0,0,0,2.75,0.75,0.75,2.75,0,3,3,0,0,0,0,2.75,0.75,0,0,0,0,2.25,2,0,1.25,0.5,0,0,1.25,2.5,3,1,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0.25,3,0,0,0,0,0,4.75,2,0.5,0.25,0.75,1.25,0,2.75,4.25,1.75,0.75,0.5,0.25,0,1,2.25,2.25,1,2.75,0,0.25,0.25,4.5,0,0.5,1.75,0,0.5,1.5,2.25,1.25,2.75,0.75,0.25,3,0,2,0,1.25,2,2.5,0.5,0,0,0.75,2,2.75,2.5,2.75,2.75
"Oligochaete",0,0,0,0,1.5,3,1.5,0,1,0,0,3,3,3,0,3,0,0,0,2.5,0,0,0,1.5,1,0,0,0,0,1.5,0,0,2.5,3,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1.5,2,0,1,0,2,2,2,2,2,2,2,2,0,0,3,1.5,0.5,2,3.5,2,1,1.5,0.5,0.5,1,2,1.5,1.5,2,1.5,2,2,1.5,3,0,1,0,3,0,2.5,2.5,2,1,1.5,2,2.5,3,3,3
"Planorbidae",0,1,1.7,0.8,0.3,0,0,2.8,0.4,0.3,2.7,0.1,3,0,0,2.7,0,0,0,3,0,0,0,0,2,1.1,0.2,0,0.1,0,0.2,1,0.9,3,0.2,0,0,0,0,0.9,0,3,0.3,0,0.2,0,0,0.5,2,2.4,1.7,1.1,0,0.1,0,0,0,1.2,2.1,0,0,0,0,0.4,2,2.5,0.3,1.2,0.2,0,0.6,0.6,1.3,1.8,2.5,1.2,0,3.3,3,0.3,0.1,2.6,1.3,0.3,0.2,4.1,0.9,0.4,0.9,2.5,2.7,1.2,0.4,0.2,1.3,2,1.2,3,1.4,0,0.3,3,0.1,1.3,2.3,1.2,0,0.1,0.3,0.6,0.8,1.7,3
