"Year","Site_code","Location","Mesh","Leaf","Rep","ID","AFDM","nbsp","sing.sp","qual.FRic","FRic","FEve","FDiv","FDis","RaoQ","FGR"
2013,"BUT","D","Coarse","Oak",1,19,2.71,4,4,0.322692896994291,0.175291076230234,0.676573852309732,0.871736219523476,5.60516086604307,45.5608272887845,3
2013,"BUT","D","Coarse","Oak",2,20,2.66,4,4,0.322692896994291,0.202204852929319,0.875909343264933,0.566930895698219,7.99025798667643,67.7501972504567,4
2013,"BUT","D","Coarse","Oak",3,21,2.82,5,5,0.322692896994291,0.269958753708555,0.698238827284159,0.805264037077566,7.90685020363435,64.5587626379132,4
2013,"BUT","D","Coarse","Oak",4,22,2.71,6,6,0.322692896994291,0.295736443023454,0.69118630109029,0.9636009725576,8.00522181325592,65.5123770028955,4
2013,"BUT","D","Coarse","Oak",5,23,2.71,4,4,0.322692896994291,0.114548190068741,0.739632512337326,0.719001716324566,6.69809906441415,52.9471507962728,3
2013,"BUT","D","Coarse","Oak",6,24,2.69,3,3,0.322692896994291,0.086854349873878,0.78871841989328,0.660292683293398,7.08888205109636,52.8608881742287,3
2013,"BUT","U1","Coarse","Oak",1,43,2.88,4,4,0.322692896994291,0.287108331174135,0.762885056248123,0.733705598479349,8.32306748991635,78.2469681070697,3
2013,"BUT","U1","Coarse","Oak",2,44,2.56,3,3,0.322692896994291,0.193619741140307,0.683636593452357,0.773331872041795,7.62448944852925,61.5988591916327,3
2013,"BUT","U1","Coarse","Oak",3,45,2.72,3,3,0.322692896994291,0.0946676774783207,0.866172674155985,0.604435565912758,7.42941126778018,58.5776770890062,3
2013,"BUT","U1","Coarse","Oak",4,46,2.51,6,6,0.322692896994291,0.404688361802037,0.699423305358309,0.605389730532134,3.1815592348843,25.5883997463792,5
2013,"BUT","U1","Coarse","Oak",5,47,2.42,6,6,0.322692896994291,0.378910672487137,0.519902446185739,0.730344865662912,8.44212270648637,75.4900573515004,6
2013,"BUT","U1","Coarse","Oak",6,48,2.79,5,5,0.322692896994291,0.269958753708555,0.551625478173757,0.888287780281802,7.04145241352228,54.6189670092526,4
2013,"BUT","U2","Coarse","Oak",1,67,2.64,4,4,0.322692896994291,0.223349593958917,0.535739035879541,0.863696768616678,2.00498636698009,15.5174766377814,4
2013,"BUT","U2","Coarse","Oak",2,68,2.69,4,4,0.322692896994291,0.210018180533762,0.736692153554251,0.621757602591989,7.32316795410824,61.957222824699,4
2013,"BUT","U2","Coarse","Oak",3,69,2.79,5,5,0.322692896994291,0.338700097014358,0.862929288297477,0.625718427806644,8.57783870047538,78.3963160836233,5
2013,"BUT","U2","Coarse","Oak",4,70,2.79,4,4,0.322692896994291,0.223500108847324,0.860924323626546,0.719239984933848,8.94697145173658,84.3022399438779,4
2013,"BUT","U2","Coarse","Oak",5,71,2.69,5,5,0.322692896994291,0.504473382027693,0.430405682856655,0.463714634100449,7.05343136394046,59.354191878426,5
2013,"BUT","U2","Coarse","Oak",6,72,2.75,3,3,0.322692896994291,0.0223403156949545,0.876317922151751,0.224384768100443,5.2118682001278,46.9006099419088,3
2013,"COL","D","Coarse","Oak",1,91,3.1,2,2,0.322692896994291,NA,NA,NA,4.53472869548852,32.9362958872687,2
2013,"COL","D","Coarse","Oak",2,92,2.98,2,2,0.322692896994291,NA,NA,NA,0.691314579662277,5.02110337264326,2
2013,"COL","D","Coarse","Oak",3,93,2.99,2,2,0.322692896994291,NA,NA,NA,6.67021572955279,48.4466025760329,2
2013,"COL","D","Coarse","Oak",4,94,3.27,2,2,0.322692896994291,NA,NA,NA,1.55139703656831,11.2679887301485,2
2013,"COL","D","Coarse","Oak",5,95,3.01,2,2,0.322692896994291,NA,NA,NA,7.23799187768694,52.5704310271781,2
2013,"COL","D","Coarse","Oak",6,96,3.28,2,2,0.322692896994291,NA,NA,NA,1.5513970370269,11.2679887334793,2
2013,"COL","U1","Coarse","Oak",1,115,2.49,3,3,0.322692896994291,0.0782259939184489,0.903796366908411,0.511334102396447,7.437008300431,62.7195679099159,2
2013,"COL","U1","Coarse","Oak",2,116,2.81,3,3,0.322692896994291,0.115350503055441,0.607558275837438,0.903166473695499,7.35482836263554,55.8557176629381,3
2013,"COL","U1","Coarse","Oak",3,117,2.91,1,1,0.322692896994291,NA,NA,NA,0,0,1
2013,"COL","U1","Coarse","Oak",4,118,2.92,4,4,0.322692896994291,0.182082819278818,0.482887327910237,0.600289092404095,2.08217347325926,15.2760693830075,3
2013,"COL","U1","Coarse","Oak",5,119,2.95,2,2,0.322692896994291,NA,NA,NA,3.29517903694856,23.9332932685559,2
2013,"COL","U1","Coarse","Oak",6,120,2.82,5,5,0.322692896994291,0.209099123865371,0.414074866382787,0.991671514529874,6.50940468473623,48.8951787510911,5
2013,"COL","U2","Coarse","Oak",1,139,2.93,4,4,0.322692896994291,0.355203867133753,0.478688906328719,0.919470247735012,5.05639629623914,41.7555256712821,4
