"Year","Site_code","Location","Mesh","Leaf","Rep","ID","AFDM","Acari","Asellidae","Baetidae","Caloptyerigidae","Chironomidae","Dytiscidae","Elmidae","Gammaridae","Hirudinea","Limnephilidae","Lymnaeidae","Nemouridae","Oligochaete","Other","Planorbidae","Rhyacophilidae","Simuliidae","Tipulidae"
2013,"BUT","D","Coarse","Oak",1,19,2.71,0,0,0,0,0,0,0,11,0,0,1,2,0,0,1,0,0,0
2013,"BUT","D","Coarse","Oak",2,20,2.66,0,0,0,0,39.99999999,0,0,56,0,0,9.999999999,0,8,0,0,0,0,0
2013,"BUT","D","Coarse","Oak",3,21,2.82,0,0,0,0,4.999999999,0,0,13,0,0,5.999999999,1,0,0,4.999999999,0,0,0
2013,"BUT","D","Coarse","Oak",4,22,2.71,0,0,0,0,20,0,0,21,0,3,1,2,0,0,3,0,0,0
2013,"BUT","D","Coarse","Oak",5,23,2.71,0,0,0,0,30,0,0,80.99999999,0,0,5.999999999,0,0,0,9.999999999,0,0,0
2013,"BUT","D","Coarse","Oak",6,24,2.69,0,0,0,0,20,0,0,31,0,0,2.000000001,0,0,0,0,0,0,0
2013,"BUT","U1","Coarse","Oak",1,43,2.88,0,0,0,0,0,0,0,8.000000001,0,1.999999999,0,0.999999999,3.000000001,0,0,0,0,0
2013,"BUT","U1","Coarse","Oak",2,44,2.56,0,0,0,0,10,0,0,8,1,0,0,0,0,0,0,0,0,0
2013,"BUT","U1","Coarse","Oak",3,45,2.72,0,0,0,0,6,0,0,3.999999999,0,0,0,1,0,0,0,0,0,0
2013,"BUT","U1","Coarse","Oak",4,46,2.51,0,0,0,0,10,0,0,119,0,4,0,2,1.000000001,0,1.000000001,0,0,0
2013,"BUT","U1","Coarse","Oak",5,47,2.42,0,0,0.999999999,0,10,0,0,0.999999999,0,0,0,0.999999999,2.999999999,0,8.999999999,0,0,0
2013,"BUT","U1","Coarse","Oak",6,48,2.79,0,0,0,0,29.99999999,0,0,16,0,0,2,1,0,0,1,0,0,0
2013,"BUT","U2","Coarse","Oak",1,67,2.64,0,0,0,0,5,0,0,92,0,1.000000001,0,0,0,0,2.000000001,0,0,0
2013,"BUT","U2","Coarse","Oak",2,68,2.69,0,0,0,0,15,0,0,32,0,0,0,1,4.000000001,0,0,0,0,0
2013,"BUT","U2","Coarse","Oak",3,69,2.79,0,0,0,0,2,0,0,4.999999999,0,1,0,0,1,0,2,0,0,0
2013,"BUT","U2","Coarse","Oak",4,70,2.79,0,0,0,0,10,0,0,5.999999999,0,0,0,0,4.999999999,0,2.999999999,0,0,0
2013,"BUT","U2","Coarse","Oak",5,71,2.69,0,0,0,0,0,0,0,25,1,0,0,2.000000001,1,0,11,0,0,0
2013,"BUT","U2","Coarse","Oak",6,72,2.75,0,0,0,0,0,0,0,32.00000001,0,0,0,0,4.000000001,0,5,0,0,0
2013,"COL","D","Coarse","Oak",1,91,3.1,0,0,0,0,100,0,0,24,0,0,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Oak",2,92,2.98,0,0,0,0,39.99999999,0,0,1.000000001,0,0,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Oak",3,93,2.99,0,0,0,0,25,0,0,44.99999999,0,0,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Oak",4,94,3.27,0,0,0,0,100,0,0,5.999999999,0,0,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Oak",5,95,3.01,0,0,0,0,39.99999999,0,0,44.99999999,0,0,0,0,0,0,0,0,0,0
2013,"COL","D","Coarse","Oak",6,96,3.28,0,0,0,0,100,0,0,6.000000001,0,0,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Oak",1,115,2.49,0,0,0,0,100,0,0,35,0,0,0,0,0,0,0,0,50.00000001,0
2013,"COL","U1","Coarse","Oak",2,116,2.81,0,0,0,0,20,0,0,25,0,0,0,0,1,0,0,0,0,0
2013,"COL","U1","Coarse","Oak",3,117,2.91,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Oak",4,118,2.92,0,0,0,0,99.99999999,0,0,2,0,2.999999999,0,5,0,0,0,0,0,0
2013,"COL","U1","Coarse","Oak",5,119,2.95,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0
2013,"COL","U1","Coarse","Oak",6,120,2.82,0,0,1,0,80.00000001,0,0,36,0,1,3.999999999,0,0,0,0,0,0,0
2013,"COL","U2","Coarse","Oak",1,139,2.93,0,0,0,0,20,0.999999999,0,4,0,0.999999999,0,0,0,0,0,0,0,0
2013,"COL","U2","Coarse","Oak",2,140,2.94,0,0,0,0,40.00000001,0,0,5,0,0.999999999,4.000000001,0,0,0,0,0,0,0
2013,"COL","U2","Coarse","Oak",3,141,2.92,0,0,0,0,75.00000001,0,0,6,0,3.999999998,0,0,0,0,0,2,0,0
2013,"COL","U2","Coarse","Oak",4,142,2.98,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0
2013,"COL","U2","Coarse","Oak",5,143,2.84,0,0,0,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0
2013,"COL","U2","Coarse","Oak",6,144,2.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,"DUR","D","Coarse","Oak",1,163,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"DUR","D","Coarse","Oak",2,164,2.66,0,0,0,0,99.99999999,0,0,1,0,1.999999999,0,1.000000001,0,0,0,0,0,0
2013,"DUR","D","Coarse","Oak",3,165,2.87,0,5.000000001,5.999999999,0,15,0,0,3,0,0,0,1.999999999,0,0,0,0,0,0
2013,"DUR","D","Coarse","Oak",4,166,2.81,0,0,0,0,5.000000001,0,0,2,0,1.999999999,0,0,0,0,0,0,0,0
2013,"DUR","D","Coarse","Oak",5,167,2.9,0,0,0,0,1.999999999,0,0,0,0,1.999999999,0,1.999999999,0,0,0,0,0,0
2013,"DUR","D","Coarse","Oak",6,168,2.9,0,0.999999999,0,0,50,0,0,0,0,1.999999999,0.999999999,3.000000001,0,0,0,0,0,0
2013,"DUR","U1","Coarse","Oak",1,187,2.9,0,0,0,0,0,0,0,1,0,1.999999999,3.000000001,0,0.999999999,0,0.999999999,0,0,0
2013,"DUR","U1","Coarse","Oak",2,188,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"DUR","U1","Coarse","Oak",3,189,2.9,0,0,0.999999999,0,50,0,0,0,0,5,0,0,0,0,0,0,0,0
2013,"DUR","U1","Coarse","Oak",4,190,2.76,0,0,0,0,10,0,0,0,0,2,0,2,0,0,0,0,0,0
2013,"DUR","U1","Coarse","Oak",5,191,2.76,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"DUR","U1","Coarse","Oak",6,192,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"DUR","U2","Coarse","Oak",1,211,2.71,0,0,0,0,99.99999999,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,"DUR","U2","Coarse","Oak",2,212,2.73,0,0,0.999999999,0,100,0,0,0,0,0.999999999,0,0.999999999,0,0,0,0,0,0
2013,"DUR","U2","Coarse","Oak",3,213,2.87,0,0,0,0,59.99999999,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"DUR","U2","Coarse","Oak",4,214,2.82,0,0,1,0,100,0,0,0,0,2.999999999,0,0,0,0,0,0,0,0
2013,"DUR","U2","Coarse","Oak",5,215,2.59,0,0,0,0,50.00000001,0,0,2,0,0,0,0,0,0,0,0,0,0
