"Site_ID","Year","Site","Location","CA","p_Crop","p_Orchard","p_Pasture","p_Forested","p_Urban"
1,2013,"BUT","D",6.8,0.42,0.04,0.32,0.11,0.14
1,2013,"BUT","U1",6.8,0.42,0.04,0.32,0.11,0.14
1,2013,"BUT","U2",6.8,0.42,0.04,0.32,0.11,0.14
2,2013,"COL","D",11.8,0.81,0.01,0.04,0.07,0.08
2,2013,"COL","U1",11.8,0.81,0.01,0.04,0.07,0.08
2,2013,"COL","U2",11.8,0.81,0.01,0.04,0.07,0.08
3,2013,"DUR","D",17.4,0.16,0.02,0.44,0.17,0.21
3,2013,"DUR","U1",17.4,0.16,0.02,0.44,0.17,0.21
3,2013,"DUR","U2",17.4,0.16,0.02,0.44,0.17,0.21
4,2013,"HER","D",16.3,0.008,0.01,0.54,0.24,0.2
4,2013,"HER","U1",16.3,0.008,0.01,0.54,0.24,0.2
4,2013,"HER","U2",16.3,0.008,0.01,0.54,0.24,0.2
5,2013,"HOC","D",28.1,0.47,0.04,0.26,0.13,0.14
5,2013,"HOC","U1",28.1,0.47,0.04,0.26,0.13,0.14
5,2013,"HOC","U2",28.1,0.47,0.04,0.26,0.13,0.14
6,2013,"HOR","D",37,0.29,0.01,0.2,0.43,0.08
6,2013,"HOR","U1",37,0.29,0.01,0.2,0.43,0.08
6,2013,"HOR","U2",37,0.29,0.01,0.2,0.43,0.08
7,2013,"KER","D",65.9,0.43,0.02,0.08,0.29,0.18
7,2013,"KER","U1",65.9,0.43,0.02,0.08,0.29,0.18
7,2013,"KER","U2",65.9,0.43,0.02,0.08,0.29,0.18
8,2013,"MES","D",37.4,0.5,0.02,0.11,0.32,0.07
8,2013,"MES","U1",37.4,0.5,0.02,0.11,0.32,0.07
8,2013,"MES","U2",37.4,0.5,0.02,0.11,0.32,0.07
9,2013,"NIE","D",25.1,0.12,0.03,0.33,0.46,0.08
9,2013,"NIE","U1",25.1,0.12,0.03,0.33,0.46,0.08
9,2013,"NIE","U2",25.1,0.12,0.03,0.33,0.46,0.08
10,2013,"ROM","D",47.6,0.35,0.01,0.39,0.16,0.1
10,2013,"ROM","U1",47.6,0.35,0.01,0.39,0.16,0.1
10,2013,"ROM","U2",47.6,0.35,0.01,0.39,0.16,0.1
11,2013,"ROT","D",7.4,0.001,0,0.47,0.46,0.06
11,2013,"ROT","U1",7.4,0.001,0,0.47,0.46,0.06
11,2013,"ROT","U2",7.4,0.001,0,0.47,0.46,0.06
12,2013,"SEV","D",7.2,0.32,0,0.1,0.52,0.06
12,2013,"SEV","U1",7.2,0.32,0,0.1,0.52,0.06
12,2013,"SEV","U2",7.2,0.32,0,0.1,0.52,0.06
13,2014,"AAD","D",35,0.16,0.01,0.32,0.36,0.14
13,2014,"AAD","U1",35,0.16,0.01,0.32,0.36,0.14
13,2014,"AAD","U2",35,0.16,0.01,0.32,0.36,0.14
14,2014,"BIR","D",46.7,0.22,0.01,0.21,0.38,0.16
14,2014,"BIR","U1",46.7,0.22,0.01,0.21,0.38,0.16
14,2014,"BIR","U2",46.7,0.22,0.01,0.21,0.38,0.16
15,2014,"ELG","D",13.3,0.27,0.01,0.19,0.41,0.13
15,2014,"ELG","U1",13.3,0.27,0.01,0.19,0.41,0.13
15,2014,"ELG","U2",13.3,0.27,0.01,0.19,0.41,0.13
16,2014,"ELL","D",24.1,0.55,0.02,0.11,0.19,0.14
16,2014,"ELL","U1",24.1,0.55,0.02,0.11,0.19,0.14
16,2014,"ELL","U2",24.1,0.55,0.02,0.11,0.19,0.14
17,2014,"KNO","D",16.6,0.41,0.01,0.24,0.2,0.14
17,2014,"KNO","U1",16.6,0.41,0.01,0.24,0.2,0.14
17,2014,"KNO","U2",16.6,0.41,0.01,0.24,0.2,0.14
18,2014,"MAR","D",26.5,0.54,0.01,0.1,0.21,0.13
18,2014,"MAR","U1",26.5,0.54,0.01,0.1,0.21,0.13
18,2014,"MAR","U2",26.5,0.54,0.01,0.1,0.21,0.13
19,2014,"MUR","D",15.5,0.43,0.02,0.23,0.19,0.15
19,2014,"MUR","U1",15.5,0.43,0.02,0.23,0.19,0.15
19,2014,"MUR","U2",15.5,0.43,0.02,0.23,0.19,0.15
20,2014,"REI","D",43.6,0.44,0.02,0.2,0.2,0.15
20,2014,"REI","U1",43.6,0.44,0.02,0.2,0.2,0.15
20,2014,"REI","U2",43.6,0.44,0.02,0.2,0.2,0.15
21,2014,"UNT","D",30.3,0.39,0.02,0.2,0.27,0.14
21,2014,"UNT","U1",30.3,0.39,0.02,0.2,0.27,0.14
21,2014,"UNT","U2",30.3,0.39,0.02,0.2,0.27,0.14
22,2014,"VAL","D",63.7,0.17,0,0.34,0.43,0.05
22,2014,"VAL","U1",63.7,0.17,0,0.34,0.43,0.05
22,2014,"VAL","U2",63.7,0.17,0,0.34,0.43,0.05
23,2014,"VIL","D",63,0.05,0,0.48,0.4,0.07
23,2014,"VIL","U1",63,0.05,0,0.48,0.4,0.07
23,2014,"VIL","U2",63,0.05,0,0.48,0.4,0.07
24,2014,"ZUL","D",7.1,0.07,0.04,0.39,0.45,0.09
24,2014,"ZUL","U1",7.1,0.07,0.04,0.39,0.45,0.09
24,2014,"ZUL","U2",7.1,0.07,0.04,0.39,0.45,0.09
