Year,Name,Site,Location,Site_code,Mesh,Leaf,Rep,Dish,Dry,Ashed,AFDM,Initial_AFDM,Days,kdays,DD,Mean_daily_temp,kdd,Person
2013,Buttisholz,BUT,DS,BUT,coarse,alder,1,13,1.35,0.38,0.97,3.215,43,0.027867129,318,7,0.003770828,S
2013,Buttisholz,BUT,DS,BUT,coarse,alder,2,14,1.46,0.39,1.07,3.215,43,0.025585319,318,7,0.003462066,S
2013,Buttisholz,BUT,DS,BUT,coarse,alder,3,15,2.27,0.82,1.45,3.215,43,0.018517763,318,7,0.002505723,S
2013,Buttisholz,BUT,DS,BUT,coarse,alder,4,16,1.84,0.54,1.3,3.215,43,0.021057281,318,7,0.002849356,S
2013,Buttisholz,BUT,DS,BUT,coarse,alder,5,17,1.25,0.39,0.86,3.215,43,0.030666285,318,7,0.004149594,S
2013,Buttisholz,BUT,DS,BUT,coarse,alder,6,18,1.02,0.23,0.79,3.215,43,0.032640691,318,7,0.00441676,S
2013,Buttisholz,BUT,US1,BUT,coarse,alder,1,37,1.46,0.41,1.05,3.215,43,0.026024121,279,6,0.004017307,S
2013,Buttisholz,BUT,US1,BUT,coarse,alder,2,38,0.75,0.22,0.53,3.215,43,0.041923387,279,6,0.006471654,S
2013,Buttisholz,BUT,US1,BUT,coarse,alder,3,39,1.93,0.6,1.33,3.215,43,0.020526707,279,6,0.003168679,S
2013,Buttisholz,BUT,US1,BUT,coarse,alder,4,40,0.39,0.1,0.29,3.215,43,0.055946552,279,6,0.008636391,S
2013,Buttisholz,BUT,US1,BUT,coarse,alder,5,41,1.97,0.55,1.42,3.215,43,0.019003965,279,6,0.002933615,S
2013,Buttisholz,BUT,US1,BUT,coarse,alder,6,42,1.83,0.45,1.38,3.215,43,0.019668462,279,6,0.003036193,S
2013,Buttisholz,BUT,US2,BUT,coarse,alder,1,61,0.2,0.04,0.16,3.215,43,0.069776949,289,7,0.01036908,S
2013,Buttisholz,BUT,US2,BUT,coarse,alder,2,62,0.13,0,0.13,3.215,43,0.074605772,289,7,0.011086658,S
2013,Buttisholz,BUT,US2,BUT,coarse,alder,3,63,1.79,0.44,1.35,3.215,43,0.020179599,289,7,0.002998753,S
2013,Buttisholz,BUT,US2,BUT,coarse,alder,4,64,1.3,0.22,1.08,3.215,43,0.025368984,289,7,0.003769913,S
2013,Buttisholz,BUT,US2,BUT,coarse,alder,5,65,0.65,0.17,0.48,3.215,43,0.044227826,289,7,0.006572398,S
2013,Buttisholz,BUT,US2,BUT,coarse,alder,6,66,0.42,0.04,0.38,3.215,43,0.04966073,289,7,0.007379744,S
2013,Colombier,COL,DS,COL,coarse,alder,1,85,3.54,1.15,2.39,3.215,35,0.0084724,202,6,0.001469094,S
2013,Colombier,COL,DS,COL,coarse,alder,2,86,3.25,0.92,2.33,3.215,35,0.009198831,202,6,0.001595055,S
2013,Colombier,COL,DS,COL,coarse,alder,3,87,1.65,0.32,1.33,3.215,35,0.025218526,202,6,0.004372831,S
2013,Colombier,COL,DS,COL,coarse,alder,4,88,4.29,1.72,2.57,3.215,35,0.006397756,202,6,0.001109355,S
2013,Colombier,COL,DS,COL,coarse,alder,5,89,3.09,1,2.09,3.215,35,0.012304666,202,6,0.002133599,S
2013,Colombier,COL,DS,COL,coarse,alder,6,90,2.82,0.83,1.99,3.215,35,0.013705506,202,6,0.002376501,S
2013,Colombier,COL,US1,COL,coarse,alder,1,109,2.57,0.61,1.96,3.215,35,0.014139511,202,6,0.002447744,M
2013,Colombier,COL,US1,COL,coarse,alder,2,110,3.14,0.83,2.31,3.215,35,0.009445138,202,6,0.001635084,M
2013,Colombier,COL,US1,COL,coarse,alder,3,111,2.75,0.67,2.08,3.215,35,0.012441699,202,6,0.00215383,S
2013,Colombier,COL,US1,COL,coarse,alder,4,112,3.09,0.84,2.25,3.215,35,0.010197061,202,6,0.001765252,S
2013,Colombier,COL,US1,COL,coarse,alder,5,113,2.9,0.78,2.12,3.215,35,0.011897465,202,6,0.002059615,S
2013,Colombier,COL,US1,COL,coarse,alder,6,114,1.88,0.48,1.4,3.215,35,0.023753004,202,6,0.004111972,S
2013,Colombier,COL,US2,COL,coarse,alder,1,133,1.78,0.42,1.36,3.215,35,0.024581219,201,6,0.004288611,M
2013,Colombier,COL,US2,COL,coarse,alder,2,134,3.17,0.95,2.22,3.215,35,0.010580576,201,6,0.001845961,M
2013,Colombier,COL,US2,COL,coarse,alder,3,135,3.03,0.74,2.29,3.215,35,0.009693587,201,6,0.001691211,S
2013,Colombier,COL,US2,COL,coarse,alder,4,136,2.44,0.57,1.87,3.215,35,0.015482541,201,6,0.002701192,M
2013,Colombier,COL,US2,COL,coarse,alder,5,137,1.48,0.24,1.24,3.215,35,0.027220457,201,6,0.004749071,S
2013,Colombier,COL,US2,COL,coarse,alder,6,138,1.66,0.27,1.39,3.215,35,0.023957817,201,6,0.004179848,M
2013,Duernten,DUR,DS,DUR,coarse,alder,1,157,2.91,0.95,1.96,3.215,42,0.011782926,298,7,0.001658986,S
2013,Duernten,DUR,DS,DUR,coarse,alder,2,158,3.59,1.64,1.95,3.215,42,0.011904714,298,7,0.001676134,S
2013,Duernten,DUR,DS,DUR,coarse,alder,3,159,3.12,1.52,1.6,3.215,42,0.016614851,298,7,0.002339301,S
2013,Duernten,DUR,DS,DUR,coarse,alder,4,160,3.43,1.42,2.01,3.215,42,0.011183158,298,7,0.001574542,S
2013,Duernten,DUR,DS,DUR,coarse,alder,5,161,3.63,1.58,2.05,3.215,42,0.01071399,298,7,0.001508485,S
2013,Duernten,DUR,DS,DUR,coarse,alder,6,162,3.16,1.15,2.01,3.215,42,0.011183158,298,7,0.001574542,S
2013,Duernten,DUR,US1,DUR,coarse,alder,1,181,3.27,1.09,2.18,3.215,42,0.009250059,277,7,0.001402454,S
2013,Duernten,DUR,US1,DUR,coarse,alder,4,184,3.09,0.94,2.15,3.215,42,0.009579989,277,7,0.001452476,S
2013,Duernten,DUR,US1,DUR,coarse,alder,5,185,3.13,1.21,1.92,3.215,42,0.012273861,277,7,0.001860909,S
2013,Duernten,DUR,US1,DUR,coarse,alder,6,186,2.43,0.78,1.65,3.215,42,0.015882192,277,7,0.002407989,S
2013,Duernten,DUR,US2,DUR,coarse,alder,1,205,3.33,1.43,1.9,3.215,42,0.012523178,287,7,0.001831541,U
2013,Duernten,DUR,US2,DUR,coarse,alder,2,206,3.37,1.23,2.14,3.215,42,0.009690989,287,7,0.001417328,M
2013,Duernten,DUR,US2,DUR,coarse,alder,3,207,2.99,1.25,1.74,3.215,42,0.014617673,287,7,0.002137866,M
2013,Duernten,DUR,US2,DUR,coarse,alder,4,208,3.05,1.16,1.89,3.215,42,0.012648822,287,7,0.001849917,S
2013,Duernten,DUR,US2,DUR,coarse,alder,5,209,3.74,1.55,2.19,3.215,42,0.009141091,287,7,0.001336904,S
2013,Duernten,DUR,US2,DUR,coarse,alder,6,210,3.32,1.51,1.81,3.215,42,0.013678584,287,7,0.002000522,S
2013,Herisau,HER,DS,HER,coarse,alder,1,229,2.27,0.73,1.54,3.215,42,0.01752488,295,7,0.002492656,P
2013,Herisau,HER,DS,HER,coarse,alder,2,230,1.66,0.65,1.01,3.215,42,0.027568501,295,7,0.003921214,P
2013,Herisau,HER,DS,HER,coarse,alder,3,231,2.69,1.16,1.53,3.215,42,0.017679991,295,7,0.002514719,S
2013,Herisau,HER,DS,HER,coarse,alder,4,232,2.89,1.06,1.83,3.215,42,0.013416938,295,7,0.001908362,S
2013,Herisau,HER,DS,HER,coarse,alder,5,233,2.86,1.15,1.71,3.215,42,0.015031762,295,7,0.002138047,S
2013,Herisau,HER,DS,HER,coarse,alder,6,234,3.13,1.2,1.93,3.215,42,0.012150175,295,7,0.001728184,S
2013,Herisau,HER,US1,HER,coarse,alder,3,255,2.94,1.11,1.83,3.215,42,0.013416938,243,6,0.00231647,S
2013,Herisau,HER,US1,HER,coarse,alder,4,256,2.71,0.82,1.89,3.215,42,0.012648822,243,6,0.002183852,S
2013,Herisau,HER,US1,HER,coarse,alder,5,257,3.03,1.09,1.94,3.215,42,0.012027128,243,6,0.002076515,S
2013,Herisau,HER,US2,HER,coarse,alder,1,277,2.17,0.79,1.38,3.215,42,0.020136759,255,6,0.003322429,S
2013,Herisau,HER,US2,HER,coarse,alder,2,278,3.46,1.46,2,3.215,42,0.011301909,255,6,0.001864739,S
2013,Herisau,HER,US2,HER,coarse,alder,3,279,2.65,0.76,1.89,3.215,42,0.012648822,255,6,0.00208697,S
2013,Herisau,HER,US2,HER,coarse,alder,4,280,3.35,1.39,1.96,3.215,42,0.011782926,255,6,0.001944103,S
2013,Herisau,HER,US2,HER,coarse,alder,5,281,2.34,0.97,1.37,3.215,42,0.02030992,255,6,0.003350999,S
2013,Herisau,HER,US2,HER,coarse,alder,6,282,2.47,0.87,1.6,3.215,42,0.016614851,255,6,0.002741338,S
2013,Hochdorf,HOC,DS,HOC,coarse,alder,1,301,1.33,0.28,1.05,3.215,32,0.034969912,238,7,0.004696299,P
2013,Hochdorf,HOC,DS,HOC,coarse,alder,2,302,2.61,0.6,2.01,3.215,32,0.014677895,238,7,0.001971174,S
2013,Hochdorf,HOC,DS,HOC,coarse,alder,3,303,2.13,0.48,1.65,3.215,32,0.020845377,238,7,0.002799439,M
2013,Hochdorf,HOC,DS,HOC,coarse,alder,4,304,1.79,0.52,1.27,3.215,32,0.029025327,238,7,0.003897969,S
2013,Hochdorf,HOC,DS,HOC,coarse,alder,5,305,2.68,0.61,2.07,3.215,32,0.013758711,238,7,0.001847732,M
2013,Hochdorf,HOC,DS,HOC,coarse,alder,6,306,2.7,0.78,1.92,3.215,32,0.016109443,238,7,0.002163425,M
2013,Hochdorf,HOC,US1,HOC,coarse,alder,1,325,0.6,0.15,0.45,3.215,32,0.06144797,225,7,0.008751909,P
2013,Hochdorf,HOC,US1,HOC,coarse,alder,2,326,0.49,0.07,0.42,3.215,32,0.063603998,225,7,0.009058987,P
2013,Hochdorf,HOC,US1,HOC,coarse,alder,3,327,0.39,0.04,0.35,3.215,32,0.069301546,225,7,0.009870477,S
2013,Hochdorf,HOC,US1,HOC,coarse,alder,4,328,0.83,0.18,0.65,3.215,32,0.049956571,225,7,0.007115212,M
2013,Hochdorf,HOC,US1,HOC,coarse,alder,5,329,2.11,0.48,1.63,3.215,32,0.02122648,225,7,0.003023244,S
2013,Hochdorf,HOC,US1,HOC,coarse,alder,6,330,1.41,0.42,0.99,3.215,32,0.036808678,225,7,0.005242585,M
2013,Hochdorf,HOC,US2,HOC,coarse,alder,1,349,1.02,0.22,0.8,3.215,32,0.043467841,233,7,0.005972805,P
2013,Hochdorf,HOC,US2,HOC,coarse,alder,2,350,1.84,0.5,1.34,3.215,32,0.02734868,233,7,0.003757912,P
2013,Hochdorf,HOC,US2,HOC,coarse,alder,3,351,1.26,0.47,0.79,3.215,32,0.043860928,233,7,0.006026818,P
2013,Hochdorf,HOC,US2,HOC,coarse,alder,4,352,1.74,0.53,1.21,3.215,32,0.030537719,233,7,0.00419611,P
2013,Hochdorf,HOC,US2,HOC,coarse,alder,5,353,0.87,0.19,0.68,3.215,32,0.048546558,233,7,0.006670658,S
2013,Hornussen,HOR,DS,HOR,coarse,alder,1,373,2.05,0.89,1.16,3.215,44,0.023168349,350,8,0.0029127,P
2013,Hornussen,HOR,DS,HOR,coarse,alder,2,374,2.21,0.74,1.47,3.215,44,0.017785567,350,8,0.002235982,M
2013,Hornussen,HOR,DS,HOR,coarse,alder,3,375,1.07,0.34,0.73,3.215,44,0.033694048,350,8,0.004235979,M
2013,Hornussen,HOR,DS,HOR,coarse,alder,4,376,1.46,0.49,0.97,3.215,44,0.027233786,350,8,0.003423802,P
2013,Hornussen,HOR,DS,HOR,coarse,alder,5,377,1.13,0.27,0.86,3.215,44,0.029969324,350,8,0.003767711,M
2013,Hornussen,HOR,US1,HOR,coarse,alder,1,397,3.24,1.88,1.36,3.215,44,0.019553242,309,7,0.002782057,S
2013,Hornussen,HOR,US1,HOR,coarse,alder,2,398,2.81,0.71,2.1,3.215,44,0.009679319,309,7,0.001377184,M
2013,Hornussen,HOR,US1,HOR,coarse,alder,3,399,2.57,1.58,0.99,3.215,44,0.026769948,309,7,0.003808857,M
2013,Hornussen,HOR,US1,HOR,coarse,alder,4,400,1.76,0.68,1.08,3.215,44,0.024792416,309,7,0.003527492,S
2013,Hornussen,HOR,US1,HOR,coarse,alder,5,401,1.71,0.72,0.99,3.215,44,0.026769948,309,7,0.003808857,M
2013,Hornussen,HOR,US1,HOR,coarse,alder,6,402,2.52,1.06,1.46,3.215,44,0.017940703,309,7,0.002552623,M
2013,Hornussen,HOR,US2,HOR,coarse,alder,1,421,1.99,0.46,1.53,3.215,44,0.016876355,324,7,0.002289626,M
2013,Hornussen,HOR,US2,HOR,coarse,alder,2,422,0.71,0.28,0.43,3.215,44,0.045722669,324,7,0.006203223,P
2013,Hornussen,HOR,US2,HOR,coarse,alder,3,423,2.62,1.13,1.49,3.215,44,0.017478437,324,7,0.00237131,M
2013,Hornussen,HOR,US2,HOR,coarse,alder,4,424,1.56,0.59,0.97,3.215,44,0.027233786,324,7,0.003694825,P
2013,Hornussen,HOR,US2,HOR,coarse,alder,5,425,2.54,0.95,1.59,3.215,44,0.016002121,324,7,0.002171018,M
2013,Hornussen,HOR,US2,HOR,coarse,alder,6,426,2.38,0.9,1.48,3.215,44,0.017631483,324,7,0.002392074,S
2013,Kernenried,KER,DS,KER,coarse,alder,1,445,1.28,0.36,0.92,3.215,34,0.036800264,285,8,0.004390239,M
2013,Kernenried,KER,DS,KER,coarse,alder,2,446,0.31,0.05,0.26,3.215,34,0.073967677,285,8,0.008824279,P
2013,Kernenried,KER,DS,KER,coarse,alder,3,447,1.06,0.18,0.88,3.215,34,0.038107669,285,8,0.004546211,P
2013,Kernenried,KER,DS,KER,coarse,alder,4,448,1.69,0.46,1.23,3.215,34,0.028259211,285,8,0.003371299,P
2013,Kernenried,KER,DS,KER,coarse,alder,5,449,2.47,0.74,1.73,3.215,34,0.018226646,285,8,0.002174423,M
2013,Kernenried,KER,DS,KER,coarse,alder,6,450,1.59,0.45,1.14,3.215,34,0.030494091,285,8,0.003637918,S
2013,Kernenried,KER,US1,KER,coarse,alder,1,469,0.68,0.12,0.56,3.215,34,0.051401349,260,8,0.006730965,P
2013,Kernenried,KER,US1,KER,coarse,alder,2,470,1.03,0.31,0.72,3.215,34,0.044009748,260,8,0.00576304,P
2013,Kernenried,KER,US1,KER,coarse,alder,3,471,0.73,0.12,0.61,3.215,34,0.048885991,260,8,0.00640158,P
2013,Kernenried,KER,US1,KER,coarse,alder,4,472,2.7,0.98,1.72,3.215,34,0.018397149,260,8,0.002409092,P
2013,Kernenried,KER,US1,KER,coarse,alder,5,473,2.12,0.67,1.45,3.215,34,0.023419524,260,8,0.003066767,P
2013,Kernenried,KER,US1,KER,coarse,alder,6,474,0.12,0.01,0.11,3.215,34,0.099267714,260,8,0.012999026,S
2013,Kernenried,KER,US2,KER,coarse,alder,1,493,0.3,0.05,0.25,3.215,34,0.075121227,258,8,0.009887331,M
2013,Kernenried,KER,US2,KER,coarse,alder,2,494,0.16,0.04,0.12,3.215,34,0.096708556,258,8,0.012728619,M
2013,Kernenried,KER,US2,KER,coarse,alder,3,495,0.38,0.07,0.31,3.215,34,0.068794422,258,8,0.009054607,S
2013,Kernenried,KER,US2,KER,coarse,alder,4,496,0.16,0.02,0.14,3.215,34,0.092174712,258,8,0.012131882,S
2013,Kernenried,KER,US2,KER,coarse,alder,5,497,0.46,0.06,0.4,3.215,34,0.061297591,258,8,0.008067887,S
2013,Kernenried,KER,US2,KER,coarse,alder,6,498,0.15,0.03,0.12,3.215,34,0.096708556,258,8,0.012728619,M
2013,Messen,MES,DS,MES,coarse,alder,1,517,2.91,1.1,1.81,3.215,40,0.014362513,185,5,0.003110908,M
2013,Messen,MES,DS,MES,coarse,alder,2,518,3.07,1.03,2.04,3.215,40,0.011371939,185,5,0.002463153,M
2013,Messen,MES,DS,MES,coarse,alder,3,519,2.11,0.47,1.64,3.215,40,0.016828278,185,5,0.003644991,S
