"Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
2013,"BUT","DS","3_D","coarse","oak","S",1,43,7.3906976744186,317.8,3.52,2.71,0.261512354718396,0.00608168266786968,0.000822883432090611
2013,"BUT","DS","3_D","coarse","oak","S",2,43,7.3906976744186,317.8,3.52,2.66,0.280134866816398,0.00651476434456739,0.000881481645111384
2013,"BUT","DS","3_D","coarse","oak","M",3,43,7.3906976744186,317.8,3.52,2.82,0.221724104659983,0.00515637452697636,0.000697684407363069
2013,"BUT","DS","3_D","coarse","oak","M",4,43,7.3906976744186,317.8,3.52,2.71,0.261512354718396,0.00608168266786968,0.000822883432090611
2013,"BUT","DS","3_D","coarse","oak","S",5,43,7.3906976744186,317.8,3.52,2.71,0.261512354718396,0.00608168266786968,0.000822883432090611
2013,"BUT","DS","3_D","coarse","oak","S",6,43,7.3906976744186,317.8,3.52,2.69,0.268919795996258,0.00625394874409902,0.00084619193202095
2013,"BUT","US1","2_U1","coarse","oak","M",1,43,6.47906976744186,278.6,3.52,2.88,0.200670695462151,0.00466676035958491,0.000720282467559768
2013,"BUT","US1","2_U1","coarse","oak","S",2,43,6.47906976744186,278.6,3.52,2.56,0.318453731118535,0.00740590072368685,0.00114305000401484
2013,"BUT","US1","2_U1","coarse","oak","S",3,43,6.47906976744186,278.6,3.52,2.72,0.2578291093021,0.00599602579772325,0.000925445474881909
2013,"BUT","US1","2_U1","coarse","oak","M",4,43,6.47906976744186,278.6,3.52,2.51,0.338178236466313,0.00786461015037937,0.00121384865924736
2013,"BUT","US1","2_U1","coarse","oak","S",5,43,6.47906976744186,278.6,3.52,2.42,0.374693449441411,0.00871380114980025,0.0013449154682032
2013,"BUT","US1","2_U1","coarse","oak","S",6,43,6.47906976744186,278.6,3.52,2.79,0.232419393776731,0.00540510218085422,0.000834240465817414
2013,"BUT","US2","1_U2","coarse","oak","I",1,43,6.73023255813953,289.4,3.52,2.64,0.287682072451781,0.00669028075469258,0.000994063830172014
2013,"BUT","US2","1_U2","coarse","oak","S",2,43,6.73023255813953,289.4,3.52,2.69,0.268919795996258,0.00625394874409902,0.000929232190726531
2013,"BUT","US2","1_U2","coarse","oak","S",6,43,6.73023255813953,289.4,3.52,2.75,0.246860077931526,0.0057409320449192,0.000853006489051575
2013,"BUT","US2","1_U2","coarse","oak","S",3,43,6.73023255813953,289.4,3.52,2.79,0.232419393776731,0.00540510218085422,0.000803107787756501
2013,"BUT","US2","1_U2","coarse","oak","S",4,43,6.73023255813953,289.4,3.52,2.79,0.232419393776731,0.00540510218085422,0.000803107787756501
2013,"BUT","US2","1_U2","coarse","oak","S",5,43,6.73023255813953,289.4,3.52,2.69,0.268919795996258,0.00625394874409902,0.000929232190726531
2013,"COL","DS","3_D","coarse","oak","S",1,35,5.76571428571429,201.8,3.52,3.1,0.127058878118905,0.00363025366054015,0.00062962774092619
2013,"COL","DS","3_D","coarse","oak","I",2,35,5.76571428571429,201.8,3.52,2.98,0.166537689092693,0.00475821968836265,0.000825261095603036
2013,"COL","DS","3_D","coarse","oak","S",3,35,5.76571428571429,201.8,3.52,2.99,0.163187602207411,0.00466250292021173,0.000808660070403422
2013,"COL","DS","3_D","coarse","oak","S",4,35,5.76571428571429,201.8,3.52,3.27,0.0736710047008438,0.00210488584859554,0.000365069398913993
2013,"COL","DS","3_D","coarse","oak","I",5,35,5.76571428571429,201.8,3.52,3.01,0.156520910849221,0.00447202602426347,0.000775623938796934
2013,"COL","DS","3_D","coarse","oak","U",6,35,5.76571428571429,201.8,3.52,3.28,0.0706175672139534,0.00201764477754153,0.000349938390554774
2013,"COL","US1","2_U1","coarse","oak","M",1,35,5.77714285714286,202.2,3.52,2.49,0.346178279133389,0.0098908079752397,0.00171205874942329
2013,"COL","US1","2_U1","coarse","oak","M",2,35,5.77714285714286,202.2,3.52,2.81,0.225276506264351,0.0064364716075529,0.00111412713286029
2013,"COL","US1","2_U1","coarse","oak","S",3,35,5.77714285714286,202.2,3.52,2.91,0.190307908426604,0.0054373688121887,0.000941186490734938
2013,"COL","US1","2_U1","coarse","oak","M",5,35,5.77714285714286,202.2,3.52,2.95,0.176655819258277,0.00504730912166506,0.000873668740149739
2013,"COL","US1","2_U1","coarse","oak","S",4,35,5.77714285714286,202.2,3.52,2.92,0.186877373329815,0.00533935352370901,0.000924220441789394
