"Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
2013,"BUT","DS","3_D","fine","oak","P",1,43,7.3906976744186,317.8,3.538,2.84,0.219757543564479,0.00511064054801114,0.000691496361121708
2013,"BUT","DS","3_D","fine","oak","P",2,43,7.3906976744186,317.8,3.538,3.02,0.158304764350815,0.00368150614769338,0.000498127011802439
2013,"BUT","DS","3_D","fine","oak","S",3,43,7.3906976744186,317.8,3.538,2.87,0.209249565966064,0.00486626897595497,0.000658431610969363
2013,"BUT","DS","3_D","fine","oak","S",4,43,7.3906976744186,317.8,3.538,2.92,0.191977979457403,0.00446460417342798,0.000604084265127134
2013,"BUT","DS","3_D","fine","oak","P",5,43,7.3906976744186,317.8,3.538,2.67,0.281483123325435,0.00654611914710315,0.000885724113673491
2013,"BUT","DS","3_D","fine","oak","P",6,43,7.3906976744186,317.8,3.538,2.74,0.255603675337615,0.00594427151947941,0.00080429098595851
2013,"BUT","US1","2_U1","fine","oak","P",3,43,6.47906976744186,278.6,3.538,2.83,0.223284884082447,0.00519267172284761,0.000801453280985094
2013,"BUT","US1","2_U1","fine","oak","P",2,43,6.47906976744186,278.6,3.538,2.97,0.174999642922985,0.00406975913774384,0.000628139421834118
2013,"BUT","US1","2_U1","fine","oak","P",1,43,6.47906976744186,278.6,3.538,2.96,0.178372327401625,0.0041481936605029,0.000640245252697863
2013,"BUT","US1","2_U1","fine","oak","S",4,43,6.47906976744186,278.6,3.538,2.76,0.248330916008535,0.00577513758159383,0.000891352893067246
2013,"BUT","US1","2_U1","fine","oak","S",5,43,6.47906976744186,278.6,3.538,2.97,0.174999642922985,0.00406975913774384,0.000628139421834118
2013,"BUT","US1","2_U1","fine","oak","P",6,43,6.47906976744186,278.6,3.538,2.89,0.202305093613253,0.00470476961891286,0.000726148936156686
2013,"BUT","US2","1_U2","fine","oak","P",2,43,6.73023255813953,289.4,3.538,3.02,0.158304764350815,0.00368150614769338,0.000547010243091967
2013,"BUT","US2","1_U2","fine","oak","P",3,43,6.73023255813953,289.4,3.538,3,0.164949307069484,0.00383603039696474,0.000569969962230421
2013,"BUT","US2","1_U2","fine","oak","P",1,43,6.73023255813953,289.4,3.538,2.98,0.17163829522028,0.00399158826093675,0.000593083259226954
2013,"BUT","US2","1_U2","fine","oak","U",4,43,6.73023255813953,289.4,3.538,2.91,0.195408514554192,0.00454438405939982,0.000675219469779517
2013,"BUT","US2","1_U2","fine","oak","S",5,43,6.73023255813953,289.4,3.538,2.87,0.209249565966064,0.00486626897595497,0.000723046185093517
2013,"BUT","US2","1_U2","fine","oak","P",6,43,6.73023255813953,289.4,3.538,2.95,0.181756425385865,0.00422689361362477,0.000628045699329182
2013,"COL","DS","3_D","fine","oak","S",1,35,5.76571428571429,201.8,3.538,3.05,0.148420005118273,0.0042405715748078,0.000735480699297686
2013,"COL","DS","3_D","fine","oak","S",4,35,5.76571428571429,201.8,3.538,3.01,0.161621516976809,0.00461775762790883,0.000800899489478737
2013,"COL","DS","3_D","fine","oak","P",5,35,5.76571428571429,201.8,3.538,3.07,0.141884034138488,0.00405382954681393,0.000703092339635717
2013,"COL","DS","3_D","fine","oak","P",2,35,5.76571428571429,201.8,3.538,3.09,0.135390504827939,0.00386830013794113,0.000670914295480374
2013,"COL","DS","3_D","fine","oak","S",3,35,5.76571428571429,201.8,3.538,3.15,0.116159142900052,0.0033188326542872,0.000575615177899167
2013,"COL","DS","3_D","fine","oak","S",6,35,5.76571428571429,201.8,3.538,3.05,0.148420005118273,0.00424057157480781,0.000735480699297687
2013,"COL","US1","2_U1","fine","oak","S",5,35,5.77714285714286,202.2,3.538,2.97,0.174999642922985,0.00499998979779958,0.00086547795708697
2013,"COL","US1","2_U1","fine","oak","M",6,35,5.77714285714286,202.2,3.538,2.98,0.17163829522028,0.00490395129200801,0.000848854081208112
2013,"COL","US1","2_U1","fine","oak","P",1,35,5.77714285714286,202.2,3.538,2.99,0.168288208334998,0.0048082345238571,0.000832285896810081
2013,"COL","US1","2_U1","fine","oak","P",3,35,5.77714285714286,202.2,3.538,3.12,0.125728593916203,0.00359224554046293,0.000621803135094968
2013,"COL","US1","2_U1","fine","oak","S",4,35,5.77714285714286,202.2,3.538,2.96,0.178372327401625,0.00509635221147499,0.000882157900106946
2013,"COL","US2","1_U2","fine","oak","S",2,35,5.73142857142857,200.6,3.538,2.89,0.202305093613253,0.00578014553180722,0.00100849996816178
2013,"COL","US2","1_U2","fine","oak","S",3,35,5.73142857142857,200.6,3.538,2.82,0.226824710787571,0.00648070602250204,0.00113073135985828
2013,"COL","US2","1_U2","fine","oak","S",1,35,5.73142857142857,200.6,3.538,2.99,0.168288208334999,0.0048082345238571,0.000838924268868388
2013,"COL","US2","1_U2","fine","oak","M",4,35,5.73142857142857,200.6,3.538,3,0.164949307069484,0.00471283734484239,0.000822279696258643
2013,"COL","US2","1_U2","fine","oak","S",5,35,5.73142857142857,200.6,3.538,2.93,0.188559172708617,0.00538740493453193,0.00093997593573588
2013,"COL","US2","1_U2","fine","oak","S",6,35,5.73142857142857,200.6,3.538,2.89,0.202305093613253,0.00578014553180722,0.00100849996816178
2013,"DUR","DS","3_D","fine","oak","S",2,42,7.10238095238095,298.3,3.538,3.01,0.161621516976809,0.00384813135659069,0.00054180863887633
2013,"DUR","DS","3_D","fine","oak","S",3,42,7.10238095238095,298.3,3.538,2.85,0.216242601457034,0.00514863336802462,0.000724916531870715
2013,"DUR","DS","3_D","fine","oak","S",4,42,7.10238095238095,298.3,3.538,2.89,0.202305093613253,0.00481678794317268,0.000678193408022972
2013,"DUR","DS","3_D","fine","oak","S",5,42,7.10238095238095,298.3,3.538,2.88,0.205771301589739,0.00489931670451759,0.000689813280555611
2013,"DUR","DS","3_D","fine","oak","S",1,42,7.10238095238095,298.3,3.538,3.04,0.151704080319463,0.00361200191236817,0.000508562119743423
2013,"DUR","DS","3_D","fine","oak","S",6,42,7.10238095238095,298.3,3.538,2.82,0.226824710787571,0.00540058835208503,0.00076039125305924
2013,"DUR","US1","2_U1","fine","oak","U",1,42,6.59523809523809,277,3.538,2.82,0.226824710787571,0.00540058835208503,0.000818861771796286
2013,"DUR","US1","2_U1","fine","oak","S",2,42,6.59523809523809,277,3.538,3,0.164949307069484,0.00392736445403533,0.000595484863066729
2013,"DUR","US1","2_U1","fine","oak","S",3,42,6.59523809523809,277,3.538,2.88,0.205771301589739,0.00489931670451759,0.000742856684439491
2013,"DUR","US1","2_U1","fine","oak","S",4,42,6.59523809523809,277,3.538,2.97,0.174999642922985,0.00416665816483298,0.000631767663981896
2013,"DUR","US1","2_U1","fine","oak","S",5,42,6.59523809523809,277,3.538,2.85,0.216242601457034,0.00514863336802462,0.000780659211036225
2013,"DUR","US1","2_U1","fine","oak","S",6,42,6.59523809523809,277,3.538,2.81,0.230377112391939,0.00548516934266522,0.00083168632632469
2013,"DUR","US2","1_U2","fine","oak","P",1,42,6.83809523809524,287.2,3.538,2.81,0.230377112391939,0.00548516934266522,0.000802148720027643
2013,"DUR","US2","1_U2","fine","oak","P",2,42,6.83809523809524,287.2,3.538,2.95,0.181756425385865,0.00432753393775869,0.000632856634351898
2013,"DUR","US2","1_U2","fine","oak","P",3,42,6.83809523809524,287.2,3.538,2.96,0.178372327401625,0.00424696017622915,0.00062107356337613
2013,"DUR","US2","1_U2","fine","oak","S",5,42,6.83809523809524,287.2,3.538,2.9,0.198850858745165,0.00473454425583727,0.000692377641870352
2013,"DUR","US2","1_U2","fine","oak","P",6,42,6.83809523809524,287.2,3.538,2.98,0.17163829522028,0.00408662607667334,0.000597626376115182
2013,"HER","DS","3_D","fine","oak","P",3,42,7.03095238095238,295.3,3.538,2.94,0.185152014387003,0.00440838129492865,0.000626996323694558
2013,"HER","DS","3_D","fine","oak","P",2,42,7.03095238095238,295.3,3.538,2.85,0.216242601457034,0.00514863336802462,0.000732281075032287
2013,"HER","DS","3_D","fine","oak","P",1,42,7.03095238095238,295.3,3.538,2.83,0.223284884082447,0.00531630676386779,0.000756128967431247
2013,"HER","DS","3_D","fine","oak","S",6,42,7.03095238095238,295.3,3.538,3.05,0.148420005118273,0.00353380964567317,0.000502607535110983
2013,"HER","US1","2_U1","fine","oak","S",2,42,5.79285714285714,243.3,3.538,3.01,0.161621516976809,0.00384813135659069,0.000664289013468184
2013,"HER","US1","2_U1","fine","oak","S",1,42,5.79285714285714,243.3,3.538,2.97,0.174999642922985,0.00416665816483298,0.000719275145593856
2013,"HER","US1","2_U1","fine","oak","P",5,42,5.79285714285714,243.3,3.538,3.09,0.135390504827939,0.00322358344828427,0.000556475564438715
2013,"HER","US1","2_U1","fine","oak","S",3,42,5.79285714285714,243.3,3.538,2.88,0.205771301589739,0.00489931670451759,0.000845751342333493
2013,"HER","US1","2_U1","fine","oak","P",4,42,5.79285714285714,243.3,3.538,3.15,0.116159142900052,0.00276569387857266,0.000477431742293677
2013,"HER","US2","1_U2","fine","oak","S",2,42,6.06190476190476,254.6,3.538,2.99,0.168288208334998,0.00400686210321425,0.000660990606186168
2013,"HER","US2","1_U2","fine","oak","S",1,42,6.06190476190476,254.6,3.538,3,0.164949307069484,0.00392736445403533,0.000647876304279198
2013,"HER","US2","1_U2","fine","oak","P",6,42,6.06190476190476,254.6,3.538,2.93,0.188559172708617,0.00448950411210994,0.000740609476467469
