"Year","Site_code","Location","Sample_location","Leaf","Rep","Days","T_mu","DD","k_microbe","k_microbe_day","k_microbe_dd","k_invert","k_invert_day","k_invert_dd"
2013,"BUT","DS","3_D","oak",1,43,7.3906976744186,317.8,0.219757543564479,0.00511064054801114,0.000691496361121708,0.0480284379438685,0.00111694041729927,0.000151127872699397
2013,"BUT","DS","3_D","oak",2,43,7.3906976744186,317.8,0.158304764350815,0.00368150614769338,0.000498127011802439,0.0666509500418703,0.00155002209399698,0.000209726085720171
2013,"BUT","DS","3_D","oak",3,43,7.3906976744186,317.8,0.209249565966064,0.00486626897595497,0.000658431610969363,0.0082401878854557,0.000191632276405947,2.59288479718556e-05
2013,"BUT","DS","3_D","oak",4,43,7.3906976744186,317.8,0.191977979457403,0.00446460417342798,0.000604084265127134,0.0480284379438685,0.00111694041729927,0.000151127872699397
2013,"BUT","DS","3_D","oak",5,43,7.3906976744186,317.8,0.281483123325435,0.00654611914710315,0.000885724113673491,0.0480284379438685,0.00111694041729927,0.000151127872699397
2013,"BUT","DS","3_D","oak",6,43,7.3906976744186,317.8,0.255603675337615,0.00594427151947941,0.00080429098595851,0.0554358792217303,0.00128920649352861,0.000174436372629737
2013,"BUT","US1","2_U1","oak",1,43,6.47906976744186,278.6,0.178372327401625,0.0041481936605029,0.000640245252697863,0.00577035646133637,0.000134194336310148,2.07119758124062e-05
2013,"BUT","US1","2_U1","oak",2,43,6.47906976744186,278.6,0.174999642922985,0.00406975913774384,0.000628139421834118,0.12355339211772,0.00287333470041209,0.00044347951226748
2013,"BUT","US1","2_U1","oak",3,43,6.47906976744186,278.6,0.223284884082447,0.00519267172284761,0.000801453280985094,0.062928770301285,0.00146345977444849,0.000225874983134548
2013,"BUT","US1","2_U1","oak",4,43,6.47906976744186,278.6,0.248330916008535,0.00577513758159383,0.000891352893067246,0.143277897465498,0.00333204412710461,0.000514278167499994
2013,"BUT","US1","2_U1","oak",5,43,6.47906976744186,278.6,0.174999642922985,0.00406975913774384,0.000628139421834118,0.179793110440596,0.00418123512652549,0.000645344976455836
2013,"BUT","US1","2_U1","oak",6,43,6.47906976744186,278.6,0.202305093613253,0.00470476961891286,0.000726148936156686,0.0375190547759166,0.000872536157579457,0.000134669974070053
2013,"BUT","US2","1_U2","oak",1,43,6.73023255813953,289.4,0.17163829522028,0.00399158826093675,0.000593083259226954,0.112719733699837,0.00262138915581016,0.000389494587767231
2013,"BUT","US2","1_U2","oak",2,43,6.73023255813953,289.4,0.158304764350815,0.00368150614769338,0.000547010243091967,0.0939574572443139,0.0021850571452166,0.000324662948321748
2013,"BUT","US2","1_U2","oak",3,43,6.73023255813953,289.4,0.164949307069484,0.00383603039696474,0.000569969962230421,0.0574570550247873,0.0013362105819718,0.000198538545351718
2013,"BUT","US2","1_U2","oak",4,43,6.73023255813953,289.4,0.195408514554192,0.00454438405939982,0.000675219469779517,0.0574570550247873,0.0013362105819718,0.000198538545351718
2013,"BUT","US2","1_U2","oak",5,43,6.73023255813953,289.4,0.209249565966064,0.00486626897595497,0.000723046185093517,0.0939574572443139,0.0021850571452166,0.000324662948321748
2013,"BUT","US2","1_U2","oak",6,43,6.73023255813953,289.4,0.181756425385865,0.00422689361362477,0.000628045699329182,0.0718977391795816,0.00167204044603678,0.000248437246646792
2013,"COL","DS","3_D","oak",1,35,5.76571428571429,201.8,0.148420005118273,0.0042405715748078,0.000735480699297686,0,0,0
2013,"COL","DS","3_D","oak",2,35,5.76571428571429,201.8,0.135390504827939,0.00386830013794113,0.000670914295480374,0.0297542610817926,0.000850121745194074,0.000147444306649121
2013,"COL","DS","3_D","oak",3,35,5.76571428571429,201.8,0.116159142900052,0.0033188326542872,0.000575615177899167,0.0264041741965106,0.000754404977043161,0.000130843281449508
2013,"COL","DS","3_D","oak",4,35,5.76571428571429,201.8,0.161621516976809,0.00461775762790883,0.000800899489478737,0,0,0
2013,"COL","DS","3_D","oak",5,35,5.76571428571429,201.8,0.141884034138488,0.00405382954681393,0.000703092339635717,0.0197374828383214,0.000563928081094898,9.780714984302e-05
2013,"COL","DS","3_D","oak",6,35,5.76571428571429,201.8,0.148420005118273,0.00424057157480781,0.000735480699297687,0,0,0
2013,"COL","US1","2_U1","oak",1,35,5.77714285714286,202.2,0.168288208334998,0.0048082345238571,0.000832285896810081,0.187662023425272,0.00536177209786491,0.000928101006059703
2013,"COL","US1","2_U1","oak",3,35,5.77714285714286,202.2,0.125728593916203,0.00359224554046293,0.000621803135094968,0.0317916527184871,0.000908332934813918,0.000157228747371351
2013,"COL","US1","2_U1","oak",4,35,5.77714285714286,202.2,0.178372327401625,0.00509635221147499,0.000882157900106946,0.028361117621698,0.000810317646334228,0.000140262698425806
2013,"COL","US1","2_U1","oak",5,35,5.77714285714286,202.2,0.174999642922985,0.00499998979779958,0.00086547795708697,0.0181395635501598,0.000518273244290279,8.97109967861512e-05
2013,"COL","US1","2_U1","oak",6,35,5.77714285714286,202.2,0.17163829522028,0.00490395129200801,0.000848854081208112,0.063207848951866,0.00180593854148189,0.000312600637744144
2013,"COL","US2","1_U2","oak",1,35,5.73142857142857,200.6,0.168288208334999,0.0048082345238571,0.000838924268868388,0,0,0
2013,"COL","US2","1_U2","oak",2,35,5.73142857142857,200.6,0.202305093613253,0.00578014553180722,0.00100849996816178,0,0,0
2013,"COL","US2","1_U2","oak",3,35,5.73142857142857,200.6,0.226824710787571,0.00648070602250204,0.00113073135985828,0,0,0
2013,"COL","US2","1_U2","oak",4,35,5.73142857142857,200.6,0.164949307069484,0.00471283734484239,0.000822279696258643,0,0,0
2013,"COL","US2","1_U2","oak",5,35,5.73142857142857,200.6,0.188559172708617,0.00538740493453193,0.00093997593573588,0.0277795641070757,0.000793701831630734,0.000138482373415133
2013,"COL","US2","1_U2","oak",6,35,5.73142857142857,200.6,0.202305093613253,0.00578014553180722,0.00100849996816178,0.0709517359722845,0.00202719245635099,0.000353697587100122
2013,"DUR","DS","3_D","oak",1,42,7.10238095238095,298.3,0.151704080319463,0.00361200191236817,0.000508562119743423,0.0120795256546012,0.000287607753680982,4.04945546584017e-05
2013,"DUR","DS","3_D","oak",2,42,7.10238095238095,298.3,0.161621516976809,0.00384813135659069,0.00054180863887633,0.091543697008848,0.002179611833544,0.000306884669825169
2013,"DUR","DS","3_D","oak",3,42,7.10238095238095,298.3,0.216242601457034,0.00514863336802462,0.000724916531870715,0.0155577900309259,0.000370423572164902,5.21548442203349e-05
2013,"DUR","DS","3_D","oak",4,42,7.10238095238095,298.3,0.202305093613253,0.00481678794317268,0.000678193408022972,0.0366853364568013,0.000873460391828602,0.000122981349167956
2013,"DUR","DS","3_D","oak",5,42,7.10238095238095,298.3,0.205771301589739,0.00489931670451759,0.000689813280555611,0.00515908281002745,0.000122835305000654,1.72949474020364e-05
2013,"DUR","DS","3_D","oak",6,42,7.10238095238095,298.3,0.226824710787571,0.00540058835208503,0.00076039125305924,0.00515908281002722,0.000122835305000648,1.72949474020356e-05
2013,"DUR","US1","2_U1","oak",1,42,6.59523809523809,277,0.226824710787571,0.00540058835208503,0.000818861771796286,0,0,0
2013,"DUR","US1","2_U1","oak",2,42,6.59523809523809,277,0.164949307069484,0.00392736445403533,0.000595484863066729,0.00985800966769833,0.000234714515897579,3.55884825548676e-05
2013,"DUR","US1","2_U1","oak",3,42,6.59523809523809,277,0.205771301589739,0.00489931670451759,0.000742856684439491,0,0,0
2013,"DUR","US1","2_U1","oak",4,42,6.59523809523809,277,0.174999642922985,0.00416665816483298,0.000631767663981896,0.0454489547704011,0.00108211797072384,0.000164075648990618
2013,"DUR","US1","2_U1","oak",5,42,6.59523809523809,277,0.216242601457034,0.00514863336802462,0.000780659211036225,0.0454489547704011,0.00108211797072384,0.000164075648990618
2013,"DUR","US1","2_U1","oak",6,42,6.59523809523809,277,0.230377112391939,0.00548516934266522,0.00083168632632469,0.0454489547704011,0.00108211797072384,0.000164075648990618
2013,"DUR","US2","1_U2","oak",1,42,6.83809523809524,287.2,0.230377112391939,0.00548516934266522,0.000802148720027643,0.0746349813885808,0.00177702336639478,0.000259871105113443
2013,"DUR","US2","1_U2","oak",2,42,6.83809523809524,287.2,0.181756425385865,0.00432753393775869,0.000632856634351898,0.0672820070833218,0.0016019525496029,0.000234268826891789
2013,"DUR","US2","1_U2","oak",3,42,6.83809523809524,287.2,0.178372327401625,0.00424696017622915,0.00062107356337613,0.0172715865086606,0.000411228250206205,6.01378360329408e-05
2013,"DUR","US2","1_U2","oak",5,42,6.83809523809524,287.2,0.198850858745165,0.00473454425583727,0.000692377641870352,0.119925740568744,0.00285537477544629,0.000417568734570836
2013,"DUR","US2","1_U2","oak",6,42,6.83809523809524,287.2,0.17163829522028,0.00408662607667334,0.000597626376115182,0.0383991329345359,0.000914265069869903,0.000133701716345877
2013,"HER","DS","3_D","oak",1,42,7.03095238095238,295.3,0.223284884082447,0.00531630676386779,0.000756128967431247,0.0774753121682906,0.0018446502897212,0.000262361368670134
2013,"HER","DS","3_D","oak",2,42,7.03095238095238,295.3,0.216242601457034,0.00514863336802462,0.000732281075032287,0.0339902002285517,0.000809290481632182,0.000115103962846433
2013,"HER","DS","3_D","oak",3,42,7.03095238095238,295.3,0.185152014387003,0.00440838129492865,0.000626996323694558,0.0591261735000941,0.00140776603571653,0.00020022408906229
2013,"HER","DS","3_D","oak",5,42,7.03095238095238,295.3,0.457085729870645,0.0108829935683487,0.00154786904798728,0,0,0
2013,"HER","DS","3_D","oak",6,42,7.03095238095238,295.3,0.148420005118273,0.00353380964567317,0.000502607535110983,0,0,0
2013,"HER","US1","2_U1","oak",1,42,5.79285714285714,243.3,0.174999642922985,0.00416665816483298,0.000719275145593856,0.054435206555017,0.00129607634654802,0.000223736977209277
2013,"HER","US1","2_U1","oak",2,42,5.79285714285714,243.3,0.161621516976809,0.00384813135659069,0.000664289013468184,0.0756374142056201,0.00180089081441953,0.000310881274992273
2013,"HER","US1","2_U1","oak",3,42,5.79285714285714,243.3,0.205771301589739,0.00489931670451759,0.000845751342333493,0.01669487857217,0.00039749710886119,6.86184898157418e-05
2013,"HER","US1","2_U1","oak",4,42,5.79285714285714,243.3,0.116159142900052,0.00276569387857266,0.000477431742293677,0.0509448016152484,0.00121297146702972,0.000209390882101309
2013,"HER","US1","2_U1","oak",5,42,5.79285714285714,243.3,0.135390504827939,0.00322358344828427,0.000556475564438715,0.01669487857217,0.00039749710886119,6.86184898157418e-05
2013,"HER","US2","1_U2","oak",1,42,6.06190476190476,254.6,0.164949307069484,0.00392736445403533,0.000647876304279198,0.0905778758096461,0.00215661609070586,0.000355765419519427
2013,"HER","US2","1_U2","oak",2,42,6.06190476190476,254.6,0.168288208334998,0.00400686210321425,0.000660990606186168,0.101506946341836,0.00241683205575801,0.000398691855231093
2013,"HER","US2","1_U2","oak",3,42,6.06190476190476,254.6,0.148420005118273,0.00353380964567317,0.000582953672891883,0.0549869307069433,0.0013092126358796,0.000215973804819102
2013,"HER","US2","1_U2","oak",4,42,6.06190476190476,254.6,0.132159484246493,0.00314665438682126,0.000519086740952447,0.0549869307069433,0.0013092126358796,0.000215973804819102
2013,"HER","US2","1_U2","oak",5,42,6.06190476190476,254.6,0.145146679773304,0.00345587332793581,0.000570096935480377,0.112556782528421,0.00267992339353384,0.000442092625798984
2013,"HER","US2","1_U2","oak",6,42,6.06190476190476,254.6,0.188559172708617,0.00448950411210994,0.000740609476467469,0.044552053414364,0.00106076317653248,0.000174988426607871
2013,"HOC","DS","3_D","oak",1,32,7.446875,238.3,0.161621516976809,0.00505067240552529,0.000678227096000038,0.0943321846163481,0.00294788076926088,0.000395854740311994
2013,"HOC","DS","3_D","oak",2,32,7.446875,238.3,0.100410785931913,0.00313783706037227,0.000421362928795269,0.168715904738176,0.005272372023068,0.000707997921687688
2013,"HOC","DS","3_D","oak",3,32,7.446875,238.3,0.132159484246493,0.0041299838827029,0.000554592883955069,0.0836368954996,0.0026136529843625,0.000350973124211498
2013,"HOC","DS","3_D","oak",5,32,7.446875,238.3,0.141884034138488,0.00443387606682774,0.000595400898608845,0.0251003930470273,0.000784387282719604,0.000105331066080685
2013,"HOC","DS","3_D","oak",6,32,7.446875,238.3,0.181756425385865,0.00567988829330829,0.000762721046520626,0.080097068794476,0.00250303339982738,0.00033611862691765
2013,"HOC","US1","2_U1","oak",1,32,7.021875,224.7,0.125728593916203,0.00392901855988133,0.000559539803810425,0.0750496321128733,0.00234530100352729,0.000333999252838778
2013,"HOC","US1","2_U1","oak",2,32,7.021875,224.7,0.154998976216316,0.00484371800675987,0.000689804077509194,0.0786532396161721,0.00245791373800538,0.000350036669408865
2013,"HOC","US1","2_U1","oak",3,32,7.021875,224.7,0.168288208334998,0.0052590065104687,0.000748946187516682,0.119174437021811,0.00372420115693161,0.000530371326309797
2013,"HOC","US1","2_U1","oak",4,32,7.021875,224.7,0.145146679773304,0.00453583374291575,0.000645957631389871,0.0678811426342608,0.00212128570732065,0.000302096762947311
2013,"HOC","US1","2_U1","oak",5,32,7.021875,224.7,0.198850858745165,0.00621408933578641,0.000884961543147152,0.0293474786320181,0.000917108707250566,0.000130607381539912
2013,"HOC","US1","2_U1","oak",6,32,7.021875,224.7,0.205771301589739,0.00643035317467934,0.000915760131685531,0.126721642657195,0.00396005133303733,0.000563959246360456
2013,"HOC","US2","1_U2","oak",1,32,7.278125,232.9,0.209249565966064,0.00653904893643949,0.000898452408613413,0.0284642611553932,0.000889508161106037,0.000122216664471418
2013,"HOC","US2","1_U2","oak",2,32,7.278125,232.9,0.202305093613253,0.00632203417541415,0.000868635009073648,0.0753196784368983,0.00235373995115307,0.000323399220424639
2013,"HOC","US2","1_U2","oak",3,32,7.278125,232.9,0.195408514554192,0.00610651607981851,0.000839023248407867,NA,NA,NA
2013,"HOC","US2","1_U2","oak",4,32,7.278125,232.9,0.195408514554192,0.00610651607981851,0.000839023248407868,0.0679667041316395,0.00212395950411373,0.000291827840840015
2013,"HOC","US2","1_U2","oak",5,32,7.278125,232.9,0.154998976216316,0.00484371800675986,0.0006655172873178,0.0790165403182243,0.00246926688494451,0.000339272392950727
2013,"HOR","DS","3_D","oak",1,44,7.95454545454545,350,0.255603675337615,0.00580917443949124,0.000730296215250327,0,0,0
2013,"HOR","DS","3_D","oak",2,44,7.95454545454545,350,0.300387277964588,0.00682698359010427,0.000858249365613109,NA,NA,NA
2013,"HOR","DS","3_D","oak",3,44,7.95454545454545,350,0.230377112391939,0.00523584346345316,0.000658220321119826,0,0,0
2013,"HOR","DS","3_D","oak",4,44,7.95454545454545,350,0.426314071203891,0.0096889561637248,0.00121804020343969,0,0,0
2013,"HOR","DS","3_D","oak",5,44,7.95454545454545,350,0.0635968128091963,0.00144538210929992,0.000181705179454847,0,0,0
2013,"HOR","US1","2_U1","oak",1,44,7.02727272727273,309.2,0.230377112391939,0.00523584346345316,0.000745074749003684,0.0527655940527119,0.00119921804665254,0.000170651985940207
2013,"HOR","US1","2_U1","oak",2,44,7.02727272727273,309.2,0.100410785931913,0.00228206331663438,0.000324743809611619,0.0797421817509139,0.00181232231252077,0.000257898388586397
2013,"HOR","US1","2_U1","oak",3,44,7.02727272727273,309.2,0.241110668035048,0.00547978790988745,0.000779788706452289,0.0117915198424062,0.000267989087327414,3.81355751694897e-05
2013,"HOR","US1","2_U1","oak",5,44,7.02727272727273,309.2,0.255603675337615,0.00580917443949124,0.000826661304455416,0,0,0
2013,"HOR","US1","2_U1","oak",6,44,7.02727272727273,309.2,0.248330916008535,0.00564388445473943,0.000803140090583878,0.0117915198424061,0.000267989087327411,3.81355751694893e-05
2013,"HOR","US2","1_U2","oak",1,44,7.37045454545455,324.3,0.209249565966064,0.00475567195377418,0.000645234554320271,0.0747439022228477,0.00169872505051927,0.00023047765101094
2013,"HOR","US2","1_U2","oak",2,44,7.37045454545455,324.3,0.223284884082447,0.00507465645641925,0.000688513364423211,0.0372863396879473,0.000847416811089712,0.000114974837150624
2013,"HOR","US2","1_U2","oak",3,44,7.37045454545455,324.3,0.251960684059114,0.00572637918316167,0.000776937046127393,0.011876624162579,0.00026992327642225,3.66223378432901e-05
2013,"HOR","US2","1_U2","oak",4,44,7.37045454545455,324.3,0.198850858745165,0.00451933769875375,0.000613169468841089,0.0154672922933077,0.000351529370302448,4.76943949839892e-05
2013,"HOR","US2","1_U2","oak",5,44,7.37045454545455,324.3,0.255603675337615,0.00580917443949124,0.000788170445074359,0.0226875402667945,0.000515625915154421,6.99584960431531e-05
2013,"HOR","US2","1_U2","oak",6,44,7.37045454545455,324.3,0.216242601457034,0.00491460457856896,0.000666798031011515,0.00473373665019886,0.000107584923868156,1.45967827634871e-05
