"Year","Site","Location","TUs","TU_avg_Metals_MS4","TU_avg_Fungicide_MS5","TU_avg_Herbicide_MS5","TU_avg_Insecticide_MS5","TU_avg_Other_MS5","TU_avg_Pharma_MS5"
2013,"BUT","D",0.007423293,NA,3.86e-06,5.52e-05,0.00579089,0.00151754,5.58e-05
2013,"BUT","U1",1.7e-05,NA,2.22e-07,8.83e-06,8e-08,7.3e-06,5.28e-07
2013,"BUT","U2",1.7e-05,NA,2.22e-07,8.83e-06,8e-08,7.3e-06,5.28e-07
2013,"COL","D",0.001819359,NA,0.000127688,0.000111258,2.6e-06,0.001252457,0.000325353
2013,"COL","U1",0.000740264,NA,0.000136474,0.000110443,1.78e-07,0.000492872,2.96e-07
2013,"COL","U2",0.000740264,NA,0.000136474,0.000110443,1.78e-07,0.000492872,2.96e-07
2013,"DUR","D",0.007870082,NA,7.04e-05,1.51e-05,0.002843577,0.004070731,0.000870252
2013,"DUR","U1",0.00059209,NA,1.92e-05,9.99e-06,9.72e-08,0.000561602,1.24e-06
2013,"DUR","U2",0.00059209,NA,1.92e-05,9.99e-06,9.72e-08,0.000561602,1.24e-06
2013,"HER","D",0.01791824,NA,0.000908003,2.42e-05,0.008409399,0.007135147,0.001441441
2013,"HER","U1",0.000397758,NA,4.46e-05,1.48e-05,4.27e-08,0.000337741,6.09e-07
2013,"HER","U2",0.000397758,NA,4.46e-05,1.48e-05,4.27e-08,0.000337741,6.09e-07
2013,"HOC","D",0.015056741,NA,4.46e-05,1.08e-05,0.001421048,0.013008995,0.000571346
2013,"HOC","U1",0.003824846,NA,1.31e-05,5.51e-06,0.000210101,0.003585648,1.05e-05
2013,"HOC","U2",0.003824846,NA,1.31e-05,5.51e-06,0.000210101,0.003585648,1.05e-05
2013,"HOR","D",0.004862081,NA,0.000243251,0.000125631,0.002213746,0.001612922,0.000666531
2013,"HOR","U1",1.94e-05,NA,1.57e-05,2.872e-06,1.17e-07,9.4e-08,6.17e-07
2013,"HOR","U2",1.94e-05,NA,1.57e-05,2.872e-06,1.17e-07,9.4e-08,6.17e-07
2013,"KER","D",0.019730626,NA,6.7e-05,8.62e-05,0.00872403,0.009862869,0.000990518
2013,"KER","U1",0.000481964,NA,1.8168e-05,9.1e-05,5.03e-07,0.000367629,4.71e-06
2013,"KER","U2",0.000481964,NA,1.8168e-05,9.1e-05,5.03e-07,0.000367629,4.71e-06
2013,"MES","D",0.07038918,NA,5.48e-05,5.7185e-05,0.068250428,0.001916005,0.000110759
2013,"MES","U1",0.009629045,NA,6.1e-05,6.78e-05,0.009445849,5.43e-05,9.65e-08
2013,"MES","U2",0.009629045,NA,6.1e-05,6.78e-05,0.009445849,5.43e-05,9.65e-08
2013,"NIE","D",0.004475715,NA,2.88e-05,1.96e-06,0.001210346,0.002562444,0.000672192
2013,"NIE","U1",7.7e-05,NA,3.78e-06,5.31e-07,2.93e-08,7.27e-05,3.83e-08
2013,"NIE","U2",7.7e-05,NA,3.78e-06,5.31e-07,2.93e-08,7.27e-05,3.83e-08
2013,"ROM","D",0.006212971,NA,8.46e-05,4.51e-06,0.001311991,0.004295099,0.000516775
2013,"ROM","U1",0.001792427,NA,1.07e-05,1.85e-06,0.000472533,0.001306622,7.67e-07
2013,"ROM","U2",0.001792427,NA,1.07e-05,1.85e-06,0.000472533,0.001306622,7.67e-07
2013,"ROT","D",0.000798406,NA,6.15e-06,9.87e-07,8e-08,0.000634436,0.00015675
2013,"ROT","U1",0.000172823,NA,1.46e-06,7.4e-07,2.6e-08,0.000167423,3.17e-06
2013,"ROT","U2",0.000172823,NA,1.46e-06,7.4e-07,2.6e-08,0.000167423,3.17e-06
2013,"SEV","D",0.003125253,NA,2.31e-05,4.92e-05,0.000482456,0.002511126,5.94e-05
2013,"SEV","U1",0.00080687,NA,4.54e-05,5.69e-05,0.000367468,0.000337053,1.29e-07
2013,"SEV","U2",0.00080687,NA,4.54e-05,5.69e-05,0.000367468,0.000337053,1.29e-07
2014,"AAD","D",0.049623373,0.033369302,0.000234637,4.8e-05,0.010277324,0.038659681,0.000403756
2014,"AAD","U1",0.015759176,0.015622505,1.48e-05,2.942e-06,3.1e-07,0.015739328,1.78e-06
2014,"AAD","U2",0.015759176,0.015622505,1.48e-05,2.942e-06,3.1e-07,0.015739328,1.78e-06
2014,"BIR","D",0.052068239,0.045183971,9.96e-05,9.36e-06,0.00147085,0.050140688,0.000347731
2014,"BIR","U1",0.019628099,0.019396812,3.47e-05,1.96e-06,8.76e-05,0.01950261,1.3e-06
2014,"BIR","U2",0.019628099,0.019396812,3.47e-05,1.96e-06,8.76e-05,0.01950261,1.3e-06
2014,"ELG","D",0.043035085,0.037241973,1.81e-05,1.57e-05,0.001731834,0.041086963,0.000182471
2014,"ELG","U1",0.01767586,0.017589125,3.83e-06,4.54e-06,3.82e-08,0.017662403,5.04e-06
