Year ,Site,Location,SPEAR,median_msPAFraMix_all,median_msPAFraMix_HM,median_msPAFraMix_Oth,median_msPAFraMix_PB,median_msPAFraMix_org,median_msPAFraMix_F,median_msPAFraMix_H,median_msPAFraMix_I,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM_med,median_sumTU_Oth_med,median_sumTU_PB_med,median_sumTU_all_med,median_sumTU_org_med,median_sumTU_F_med,median_sumTU_H_med,median_sumTU_I_med,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,median_sumTU_F.DM_gm,median_sumTU_H.DM_gm,median_sumTU_I.DM_gm,median_sumTU_HM.DM_med,median_sumTU_Oth.DM_med,median_sumTU_PB.DM_med,median_sumTU_all.DM_med,median_sumTU_org.DM_med,median_sumTU_F.DM_med,median_sumTU_H.DM_med,median_sumTU_I.DM_med
2014,AAD,D,30.12770607,0.001246525,3.04E-05,0.000275681,0.000853062,0.001186748,5.15E-09,0.000121496,0.000719082,0.008924313,4.02E-05,0.000363698,0.009503559,0.000417696,4.60E-05,5.04E-05,0.000265552,0.010937095,3.35E-05,0.000385123,0.011625441,0.000430379,6.86E-05,5.52E-05,0.000273543,0.03862061,3.14E-05,0.002686099,0.048352962,0.003486873,0.000119459,4.41E-05,0.00253115,0.034522025,2.79E-05,0.002906013,0.044913257,0.003702621,8.28E-05,2.73E-05,0.002801456
2014,AAD,U1,38.25129745,7.05E-05,7.02E-06,0,6.14E-05,6.14E-05,0,1.50E-06,6.03E-05,0.003964485,5.77E-07,8.26E-06,0.003970092,9.29E-06,4.32E-07,4.68E-06,1.04E-06,0.004877364,5.20E-07,2.70E-05,0.004892127,2.73E-05,1.45E-06,3.40E-06,1.03E-05,0.015955045,2.61E-07,7.98E-06,0.015962375,8.24E-06,5.01E-06,2.68E-06,9.59E-09,0.014832943,2.32E-07,6.38E-06,0.014838812,6.61E-06,2.71E-06,3.51E-06,9.55E-09
2014,BIR,D,38.87285235,0.000502922,1.66E-05,0.00024673,0.000242455,0.000473786,2.50E-10,1.51E-05,0.000219398,0.009890505,3.23E-05,0.000165031,0.010247331,0.000195915,4.28E-05,1.09E-05,0.000114325,0.012927538,2.79E-05,0.000154507,0.013283339,0.000181254,4.40E-05,6.95E-06,0.000106019,0.041680498,2.36E-05,0.001187816,0.044715924,0.001210436,4.11E-05,5.76E-06,0.001137115,0.038611058,2.09E-05,0.002355901,0.041843125,0.002381925,3.40E-05,6.37E-06,0.002275764
2014,BIR,U1,44.26785682,3.02E-05,4.84E-06,0,9.38E-06,9.46E-06,1.00E-10,5.78E-07,8.79E-06,0.004900657,4.24E-07,5.07E-05,0.005020435,5.12E-05,3.51E-05,6.14E-06,1.56E-06,0.0064243,3.45E-07,5.23E-05,0.006542699,5.27E-05,3.34E-05,2.00E-06,1.10E-05,0.019940122,3.68E-07,2.49E-05,0.020278204,2.53E-05,2.35E-05,1.11E-06,2.52E-08,0.018750182,3.21E-07,2.36E-05,0.01911429,2.40E-05,2.17E-05,1.88E-06,1.86E-08
2013,BUT,D,25.28291681,0.002359114,NA,1.87E-05,0.002340541,0.002359114,0,0.001933763,0.000408357,0,5.97E-06,0.001088542,0.001094515,0.001094515,3.41E-06,0.00081908,0.000266051,0,5.33E-06,0.000440379,0.000445712,0.000445712,3.16E-06,0.000159984,0.000277235,0,4.83E-06,0.005847215,0.005852048,0.005852048,3.76E-06,5.26E-05,0.005790889,0,4.38E-06,0.006564006,0.00656839,0.00656839,3.19E-06,5.07E-05,0.006510135
2013,BUT,U1,28.76560538,1.55E-05,NA,1.70E-07,1.54E-05,1.55E-05,0,1.54E-05,0,0,6.30E-07,4.12E-05,4.18E-05,4.18E-05,2.03E-07,4.09E-05,6.93E-08,0,5.65E-07,1.96E-05,2.02E-05,2.02E-05,1.65E-07,1.94E-05,6.86E-08,0,5.09E-07,8.56E-06,9.07E-06,9.07E-06,2.22E-07,8.26E-06,8.00E-08,0,4.08E-07,7.40E-06,7.81E-06,7.81E-06,1.58E-07,7.16E-06,8.00E-08
2013,COL,D,22.09069338,0.002437057,NA,2.37E-05,0.002413427,0.002437057,0,0.002320121,9.33E-05,0,1.13E-05,0.000231591,0.000242868,0.000242868,1.04E-05,0.000122642,2.19E-05,0,9.91E-06,0.000255976,0.000265887,0.000265887,1.24E-05,0.000120277,3.48E-05,0,0.000255448,0.000158994,0.000414441,0.000414441,1.04E-05,0.000108732,2.60E-06,0,0.000255059,0.000145014,0.000400072,0.000400072,8.33E-06,0.00010487,2.33E-06
2013,COL,U1,23.15056893,0.002320375,NA,2.79E-07,0.002320097,0.002320375,0,0.00217675,0.000143483,0,1.24E-06,0.000151331,0.000152572,0.000152572,1.80E-05,0.000121019,1.23E-05,0,1.17E-06,0.00017288,0.000174048,0.000174048,2.12E-05,0.000118753,3.29E-05,0,8.94E-07,0.000124071,0.000124965,0.000124965,1.58E-05,0.000108111,1.72E-07,0,8.49E-07,0.000119048,0.000119897,0.000119897,1.27E-05,0.000106189,1.27E-07
2013,DUR,D,25.63395136,0.000455673,NA,0.000143404,0.000312319,0.000455673,2.10E-09,1.66E-05,0.000295742,0,2.94E-05,0.000278069,0.000307486,0.000307486,5.43E-06,2.74E-05,0.000216149,0,2.42E-05,0.000311715,0.000335953,0.000335953,1.36E-05,1.27E-05,0.000252651,0,0.00072069,0.002920633,0.003641323,0.003641323,4.47E-05,8.49E-06,0.002843126,0,0.00071894,0.003196924,0.003915864,0.003915864,2.49E-05,6.27E-06,0.003147915
2013,DUR,U1,30.52156802,9.17E-05,NA,4.00E-10,9.17E-05,9.17E-05,2.00E-10,7.51E-06,8.42E-05,0,1.92E-06,2.32E-05,2.51E-05,2.51E-05,1.55E-06,1.72E-05,2.96E-06,0,1.86E-06,3.83E-05,4.02E-05,4.02E-05,4.59E-06,7.38E-06,2.46E-05,0,9.63E-07,2.39E-05,2.49E-05,2.49E-05,1.60E-05,4.65E-06,9.72E-08,0,9.00E-07,1.45E-05,1.54E-05,1.54E-05,8.72E-06,3.45E-06,9.71E-08
