"","Site_loc","SPEAR","median_msPAFraMix_all","median_msPAFraMix_HM","median_msPAFraMix_Oth","median_msPAFraMix_PB","median_msPAFraMix_org","median_msPAFraMix_F","median_msPAFraMix_H","median_msPAFraMix_I","median_sumTU_HM_gm","median_sumTU_Oth_gm","median_sumTU_PB_gm","median_sumTU_all_gm","median_sumTU_org_gm","median_sumTU_F_gm","median_sumTU_H_gm","median_sumTU_I_gm","median_sumTU_HM_med","median_sumTU_Oth_med","median_sumTU_PB_med","median_sumTU_all_med","median_sumTU_org_med","median_sumTU_F_med","median_sumTU_H_med","median_sumTU_I_med","median_sumTU_HM.DM_gm","median_sumTU_Oth.DM_gm","median_sumTU_PB.DM_gm","median_sumTU_all.DM_gm","median_sumTU_org.DM_gm","median_sumTU_F.DM_gm","median_sumTU_H.DM_gm","median_sumTU_I.DM_gm","median_sumTU_HM.DM_med","median_sumTU_Oth.DM_med","median_sumTU_PB.DM_med","median_sumTU_all.DM_med","median_sumTU_org.DM_med","median_sumTU_F.DM_med","median_sumTU_H.DM_med","median_sumTU_I.DM_med","loc"
"1","AaDS",30.12770607,0.001246525,3.03775e-05,0.0002756805,0.0008530615,0.0011867475,5.15e-09,0.0001214959,0.000719082,0.0089243133033752,4.01966427332763e-05,0.000363698437525222,0.00950355899612278,0.000417696056655422,4.60453403164545e-05,5.03638939287329e-05,0.000265552389736207,0.0109370952683966,3.35089336363012e-05,0.000385123212689526,0.011625440571716,0.000430379163563414,6.86093081779696e-05,5.52039796601454e-05,0.000273542985285823,0.0386206097754989,3.14402552886026e-05,0.0026860987646526,0.0483529619791048,0.00348687317810602,0.00011945927306592,4.40568463950279e-05,0.00253115000850768,0.0345220245213144,2.78551574560778e-05,0.00290601255786138,0.0449132569762667,0.00370262084567627,8.28156350014261e-05,2.72614059901086e-05,0.00280145634043158,"DS"
"2","AaUS1",38.25129745,7.04652e-05,7.0249e-06,0,6.139025e-05,6.139025e-05,0,1.49615e-06,6.027315e-05,0.00396448452225903,5.76574944327423e-07,8.2629975830112e-06,0.00397009219308877,9.29010578306722e-06,4.31652130650455e-07,4.67660448077162e-06,1.03708800203287e-06,0.00487736409655245,5.19612874108517e-07,2.69751922351609e-05,0.00489212703825108,2.73471526968029e-05,1.44927536231884e-06,3.39630041848261e-06,1.02839215686275e-05,0.015955045449847,2.60837935031275e-07,7.97732360189424e-06,0.015962374911967,8.23800557523068e-06,5.01307354191294e-06,2.68268663062829e-06,9.58706236059213e-09,0.0148329431918656,2.32275195315824e-07,6.37749703668131e-06,0.0148388117113014,6.60842587193517e-06,2.71428571428571e-06,3.51398475278685e-06,9.55414012738854e-09,"S1"
"3","BiDS",38.87285235,0.0005029215,1.657055e-05,0.00024673,0.0002424545,0.000473786,2.5e-10,1.511595e-05,0.000219398,0.00989050490709813,3.22603464679091e-05,0.000165030997685981,0.0102473311806533,0.000195915179032008,4.2810933708367e-05,1.09496280864095e-05,0.000114325215877818,0.0129275384586858,2.79151769689517e-05,0.000154506945701021,0.0132833393496999,0.000181253610601985,4.40447995873992e-05,6.95321047645959e-06,0.000106018907103825,0.041680497604673,2.35542226111923e-05,0.00118781562557678,0.0447159238677804,0.00121043614126176,4.11418534073372e-05,5.76002167301348e-06,0.00113711486316054,0.0386110579937304,2.0929003277876e-05,0.00235590110367939,0.0418431251421838,0.00238192519886388,3.39856276371308e-05,6.37393605263604e-06,0.00227576412810108,"DS"
"4","BiUS1",44.26785682,3.01637e-05,4.8355e-06,0,9.37985e-06,9.46485e-06,1e-10,5.777e-07,8.7943e-06,0.00490065725442701,4.24160104086187e-07,5.0685961853451e-05,0.00502043475740026,5.1193717014913e-05,3.51111147311008e-05,6.1439016450495e-06,1.55985371143954e-06,0.00642429957314209,3.44955368649754e-07,5.22739100737609e-05,0.0065426994284638,5.27024604997864e-05,3.34416758213627e-05,1.9996858608801e-06,1.10055526635433e-05,0.0199401217398125,3.67812056051806e-07,2.48753867975773e-05,0.020278203641469,2.53207498740372e-05,2.34943290172668e-05,1.11088203674329e-06,2.51743284280408e-08,0.0187501819588458,3.20779220779221e-07,2.35599450548277e-05,0.0191142898356523,2.39582752960151e-05,2.16797758324657e-05,1.87704138574131e-06,1.85767537164869e-08,"S1"
"5","BuDS",25.28291681,0.0023591143,NA,1.8657e-05,0.0023405407,0.0023591143,0,0.0019337627,0.000408357,0,5.97263373606725e-06,0.00108854208538209,0.00109451471911816,0.00109451471911816,3.41151982118945e-06,0.000819079924159938,0.000266050641400966,0,5.33261738716752e-06,0.000440379378610893,0.000445711995998061,0.000445711995998061,3.16063864450961e-06,0.000159983501871146,0.000277235238095238,0,4.83267905790335e-06,0.00584721541832642,0.00585204809738432,0.00585204809738432,3.76246888738252e-06,5.2563456234226e-05,0.00579088949320481,0,4.38393853906553e-06,0.00656400560580551,0.00656838954434457,0.00656838954434457,3.19444444444444e-06,5.06764417988199e-05,0.00651013471956224,"DS"
"6","BuUS1",28.76560538,1.55281e-05,NA,1.702e-07,1.53579e-05,1.55281e-05,0,1.53579e-05,0,0,6.29710987357415e-07,4.11973739229672e-05,4.18270849103246e-05,4.18270849103246e-05,2.02604615829142e-07,4.09254872748353e-05,6.92820323027552e-08,0,5.64743728308536e-07,1.96247403922024e-05,2.0189484120511e-05,2.0189484120511e-05,1.65063907486306e-07,1.93911050561447e-05,6.85714285714286e-08,0,5.09432534274829e-07,8.56126419084414e-06,9.07069672511897e-06,9.07069672511897e-06,2.21725163682404e-07,8.25953902716174e-06,8.00000000000001e-08,0,4.08177281893997e-07,7.39855103352997e-06,7.80672831542397e-06,7.80672831542397e-06,1.5825e-07,7.16030103352997e-06,8e-08,"S1"
"7","CoDS",22.09069338,0.002437057,NA,2.370905e-05,0.002413427,0.002437057,0,0.00232012145,9.32724e-05,0,1.12769375690625e-05,0.000231590765817528,0.00024286770338659,0.00024286770338659,1.04447214338387e-05,0.000122642100002282,2.19488487118556e-05,0,9.9112491284076e-06,0.000255976159109974,0.000265887408238382,0.000265887408238382,1.2436796085577e-05,0.000120277488694847,3.4801832884097e-05,0,0.000255447830981276,0.000158993575357183,0.000414441406338459,0.000414441406338459,1.04407402527786e-05,0.000108731950679625,2.59579873207945e-06,0,0.000255058625200766,0.0001450136537121,0.000400072278912867,0.000400072278912867,8.33155028235669e-06,0.000104869586523056,2.32533741950833e-06,"DS"
"8","CoUS1",23.15056893,0.002320375,NA,2.7905e-07,0.002320097,0.002320375,0,0.00217674985,0.00014348255,0,1.24162973971989e-06,0.000151330534488373,0.000152572164228093,0.000152572164228093,1.80494293966209e-05,0.000121019320817444,1.22617842743087e-05,0,1.1680218754505e-06,0.000172880231138613,0.000174048253014064,0.000174048253014064,2.12373976095103e-05,0.000118752598234985,3.28902352941176e-05,0,8.93751976105538e-07,0.000124070882437417,0.000124964634413522,0.000124964634413522,1.5787340431911e-05,0.00010811123967076,1.72302334745182e-07,0,8.48840956189971e-07,0.000119048298325966,0.000119897139282156,0.000119897139282156,1.27325273296016e-05,0.000106188922430411,1.26848565952728e-07,"S1"
"9","DuDS",25.63395136,0.000455673,NA,0.0001434035,0.0003123185,0.000455673,2.1e-09,1.65678e-05,0.000295742,0,2.94169648627517e-05,0.000278069042232353,0.000307486007095104,0.000307486007095104,5.43054452840836e-06,2.74406085155743e-05,0.000216149067014683,0,2.42381155826843e-05,0.000311714880077064,0.000335952995659748,0.000335952995659748,1.36019827482398e-05,1.27163237753315e-05,0.000252651314130222,0,0.000720689900395326,0.00292063310271419,0.00364132300310952,0.00364132300310952,4.47064289503054e-05,8.48537301886214e-06,0.00284312576408309,0,0.000718939867735692,0.00319692366163917,0.00391586352937486,0.00391586352937486,2.49236236688768e-05,6.27276007583489e-06,0.00314791523145033,"DS"
"10","DuUS1",30.52156802,9.17225e-05,NA,4e-10,9.17221e-05,9.17225e-05,2e-10,7.51045e-06,8.42115e-05,0,1.91597514830587e-06,2.32080927623479e-05,2.51240679106538e-05,2.51240679106538e-05,1.55188770693782e-06,1.71671743183643e-05,2.96181089497256e-06,0,1.86446079370285e-06,3.83055987339173e-05,4.01700595276202e-05,4.01700595276202e-05,4.59067199890621e-06,7.38114970282548e-06,2.46048050695688e-05,0,9.63207057866412e-07,2.39076365090131e-05,2.48708435668796e-05,2.48708435668796e-05,1.59800035552124e-05,4.64866714519174e-06,9.71623670949423e-08,0,9.00498515447749e-07,1.44654412016732e-05,1.53659397171209e-05,1.53659397171209e-05,8.71791907775769e-06,3.44800232032044e-06,9.71388512140825e-08,"S1"
