Tab EcoImpact comparison of MP-derived TUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Stamm, 16.11.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This file is a compilation of two data sources: ""spear_median_sumTU_msPAF.csv"" (rows B - AI) and ""3_DATA_MPs_TU_metasubstance_VER02_161114.csv"" (rows AJ - BC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explanations about the contents of both files and the abbreviations are provided in: README_ToxicUnits_2017.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Site_loc,SPEAR,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM_med,median_sumTU_Oth_med,median_sumTU_PB_med,median_sumTU_all_med,median_sumTU_org_med,median_sumTU_F_med,median_sumTU_H_med,median_sumTU_I_med,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,median_sumTU_F.DM_gm,median_sumTU_H.DM_gm,median_sumTU_I.DM_gm,median_sumTU_HM.DM_med,median_sumTU_Oth.DM_med,median_sumTU_PB.DM_med,median_sumTU_all.DM_med,median_sumTU_org.DM_med,median_sumTU_F.DM_med,median_sumTU_H.DM_med,median_sumTU_I.DM_med,loc,Site,Location,TUs,TU_avg_nonPest_MS1,TU_avg_Pest_MS1,TU_avg_nonPest_MS2,TU_avg_Pest_MS2,TU_avg_other_MS3,TU_avg_Pesticide_MS3,TU_avg_Pharma_MS3,TU_avg_Metals_MS4,TU_avg_Other_MS4,TU_avg_Pesticides_MS4,TU_avg_Pharma_MS4,TU_avg_Fungicide_MS5,TU_avg_Herbicide_MS5,TU_avg_Insecticide_MS5,TU_avg_Other_MS5,TU_avg_Pharma_MS5
1,AaDS,30.12770607,0.008924313,4.02E-05,0.000363698,0.009503559,0.000417696,4.60E-05,5.04E-05,0.000265552,0.010937095,3.35E-05,0.000385123,0.011625441,0.000430379,6.86E-05,5.52E-05,0.000273543,0.03862061,3.14E-05,0.002686099,0.048352962,0.003486873,0.000119459,4.41E-05,0.00253115,0.034522025,2.79E-05,0.002906013,0.044913257,0.003702621,8.28E-05,2.73E-05,0.002801456,DS,AAD,D,0.049623373,0.039319095,0.010559936,0.039063436,0.010304277,0.03891534,0.010304277,0.000403756,0.033369302,0.005546037,0.010304277,0.000403756,0.000234637,4.80E-05,0.010277324,0.038659681,0.000403756
2,AaUS1,38.25129745,0.003964485,5.77E-07,8.26E-06,0.003970092,9.29E-06,4.32E-07,4.68E-06,1.04E-06,0.004877364,5.20E-07,2.70E-05,0.004892127,2.73E-05,1.45E-06,3.40E-06,1.03E-05,0.015955045,2.61E-07,7.98E-06,0.015962375,8.24E-06,5.01E-06,2.68E-06,9.59E-09,0.014832943,2.32E-07,6.38E-06,0.014838812,6.61E-06,2.71E-06,3.51E-06,9.55E-09,S1,AAD,U1,0.015759176,0.015753175,1.81E-05,0.015741107,6.00E-06,0.015751396,6.00E-06,1.78E-06,0.015622505,0.000128891,6.00E-06,1.78E-06,1.48E-05,0.000002942,3.10E-07,0.015739328,1.78E-06
3,BiDS,38.87285235,0.009890505,3.23E-05,0.000165031,0.010247331,0.000195915,4.28E-05,1.09E-05,0.000114325,0.012927538,2.79E-05,0.000154507,0.013283339,0.000181254,4.40E-05,6.95E-06,0.000106019,0.041680498,2.36E-05,0.001187816,0.044715924,0.001210436,4.11E-05,5.76E-06,0.001137115,0.038611058,2.09E-05,0.002355901,0.041843125,0.002381925,3.40E-05,6.37E-06,0.002275764,DS,BIR,D,0.052068239,0.050525745,0.00157982,0.050488419,0.001542494,0.050178014,0.001542494,0.000347731,0.045183971,0.004994043,0.001542494,0.000347731,9.96E-05,9.36E-06,0.00147085,0.050140688,0.000347731
4,BiUS1,44.26785682,0.004900657,4.24E-07,5.07E-05,0.005020435,5.12E-05,3.51E-05,6.14E-06,1.56E-06,0.0064243,3.45E-07,5.23E-05,0.006542699,5.27E-05,3.34E-05,2.00E-06,1.10E-05,0.019940122,3.68E-07,2.49E-05,0.020278204,2.53E-05,2.35E-05,1.11E-06,2.52E-08,0.018750182,3.21E-07,2.36E-05,0.01911429,2.40E-05,2.17E-05,1.88E-06,1.86E-08,S1,BIR,U1,0.019628099,0.019506835,0.000124194,0.019503906,0.000121264,0.01950554,0.000121264,1.30E-06,0.019396812,0.000108727,0.000121264,1.30E-06,3.47E-05,1.96E-06,8.76E-05,0.01950261,1.30E-06
5,BuDS,25.28291681,0,5.97E-06,0.001088542,0.001094515,0.001094515,3.41E-06,0.00081908,0.000266051,0,5.33E-06,0.000440379,0.000445712,0.000445712,3.16E-06,0.000159984,0.000277235,0,4.83E-06,0.005847215,0.005852048,0.005852048,3.76E-06,5.26E-05,0.005790889,0,4.38E-06,0.006564006,0.00656839,0.00656839,3.19E-06,5.07E-05,0.006510135,DS,BUT,D,0.007423293,0.001575805,0.005849908,0.001573386,0.005847488,0.001519959,0.005847488,5.58E-05,NA,0.001519959,0.005847488,5.58E-05,3.86E-06,5.52E-05,0.00579089,0.00151754,5.58E-05
6,BuUS1,28.76560538,0,6.30E-07,4.12E-05,4.18E-05,4.18E-05,2.03E-07,4.09E-05,6.93E-08,0,5.65E-07,1.96E-05,2.02E-05,2.02E-05,1.65E-07,1.94E-05,6.86E-08,0,5.09E-07,8.56E-06,9.07E-06,9.07E-06,2.22E-07,8.26E-06,8.00E-08,0,4.08E-07,7.40E-06,7.81E-06,7.81E-06,1.58E-07,7.16E-06,8.00E-08,S1,BUT,U1,1.70E-05,9.77E-06,9.14E-06,7.82E-06,7.19E-06,9.24E-06,7.19E-06,0.000000528,NA,9.24E-06,7.19E-06,0.000000528,2.22E-07,8.83E-06,0.00000008,7.30E-06,0.000000528
7,CoDS,22.09069338,0,1.13E-05,0.000231591,0.000242868,0.000242868,1.04E-05,0.000122642,2.19E-05,0,9.91E-06,0.000255976,0.000265887,0.000265887,1.24E-05,0.000120277,3.48E-05,0,0.000255448,0.000158994,0.000414441,0.000414441,1.04E-05,0.000108732,2.60E-06,0,0.000255059,0.000145014,0.000400072,0.000400072,8.33E-06,0.00010487,2.33E-06,DS,COL,D,0.001819359,0.001623611,0.000241548,0.00157781,0.000195748,0.001298258,0.000195748,0.000325353,NA,0.001298258,0.000195748,0.000325353,0.000127688,0.000111258,2.60E-06,0.001252457,0.000325353
8,CoUS1,23.15056893,0,1.24E-06,0.000151331,0.000152572,0.000152572,1.80E-05,0.000121019,1.23E-05,0,1.17E-06,0.00017288,0.000174048,0.000174048,2.12E-05,0.000118753,3.29E-05,0,8.94E-07,0.000124071,0.000124965,0.000124965,1.58E-05,0.000108111,1.72E-07,0,8.49E-07,0.000119048,0.000119897,0.000119897,1.27E-05,0.000106189,1.27E-07,S1,COL,U1,0.000740264,0.000504122,0.000247096,0.000493168,0.000236142,0.000503826,0.000236142,2.96E-07,NA,0.000503826,0.000236142,2.96E-07,0.000136474,0.000110443,1.78E-07,0.000492872,2.96E-07
9,DuDS,25.63395136,0,2.94E-05,0.000278069,0.000307486,0.000307486,5.43E-06,2.74E-05,0.000216149,0,2.42E-05,0.000311715,0.000335953,0.000335953,1.36E-05,1.27E-05,0.000252651,0,0.00072069,0.002920633,0.003641323,0.003641323,4.47E-05,8.49E-06,0.002843126,0,0.00071894,0.003196924,0.003915864,0.003915864,2.49E-05,6.27E-06,0.003147915,DS,DUR,D,0.007870082,0.005014597,0.002929099,0.004940983,0.002855485,0.004144345,0.002855485,0.000870252,NA,0.004144345,0.002855485,0.000870252,7.04E-05,1.51E-05,0.002843577,0.004070731,0.000870252
10,DuUS1,30.52156802,0,1.92E-06,2.32E-05,2.51E-05,2.51E-05,1.55E-06,1.72E-05,2.96E-06,0,1.86E-06,3.83E-05,4.02E-05,4.02E-05,4.59E-06,7.38E-06,2.46E-05,0,9.63E-07,2.39E-05,2.49E-05,2.49E-05,1.60E-05,4.65E-06,9.72E-08,0,9.00E-07,1.45E-05,1.54E-05,1.54E-05,8.72E-06,3.45E-06,9.71E-08,S1,DUR,U1,0.00059209,0.00058497,2.93E-05,0.00056284,7.12E-06,0.000583732,7.12E-06,1.24E-06,NA,0.000583732,7.12E-06,1.24E-06,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06
11,EkDS,35.0022536,0.010545144,4.53E-05,0.00019599,0.010960925,0.000234635,1.12E-05,1.82E-05,0.00017022,0.013741968,3.81E-05,0.000221969,0.01418581,0.000255274,2.11E-05,1.51E-05,0.000202769,0.044695943,3.66E-05,0.001308651,0.047440561,0.001338496,8.62E-05,1.18E-05,0.001138138,0.041294528,3.23E-05,0.00140732,0.044129469,0.0014577,6.50E-05,1.03E-05,0.001255448,DS,ELG,D,0.043035085,0.041294585,0.001765652,0.041269434,0.001740501,0.041112113,0.001740501,0.000182471,0.037241973,0.003870141,0.001740501,0.000182471,1.81E-05,1.57E-05,0.001731834,0.041086963,0.000182471
12,EkUS1,32.01732319,0.006184992,2.44E-07,1.53E-05,0.006200736,1.57E-05,3.92E-06,8.68E-06,3.65E-06,0.007735887,2.28E-07,7.66E-05,0.007800911,7.67E-05,5.94E-06,4.76E-06,6.88E-05,0.025389112,2.25E-07,1.71E-05,0.025406591,1.75E-05,1.37E-05,3.39E-06,3.38E-08,0.023664062,2.16E-07,1.32E-05,0.023677606,1.35E-05,8.69E-06,5.00E-06,3.37E-08,S1,ELG,U1,0.01767586,0.017673017,0.000008414,0.017667446,2.84E-06,0.017667975,2.84E-06,5.04E-06,0.017589125,7.88E-05,2.84E-06,5.04E-06,3.83E-06,4.54E-06,3.82E-08,0.017662403,5.04E-06
13,ElgDS,39.1906648,0.008274555,2.73E-05,9.04E-05,0.008398434,0.000123879,1.25E-06,1.44E-05,5.08E-05,0.010653751,2.38E-05,9.15E-05,0.010776183,0.000111296,3.94E-06,1.33E-05,6.44E-05,0.035558838,2.03E-05,0.000731656,0.036606388,0.00092866,1.41E-05,1.03E-05,0.000697401,0.032538543,1.82E-05,0.000792115,0.03364437,0.001016815,7.67E-06,6.88E-06,0.000770941,DS,ELL,D,0.058123477,0.056874012,0.001302532,0.056820944,0.001249465,0.056272163,0.001249465,0.000601849,0.049837005,0.006435159,0.001249465,0.000601849,9.50E-05,4.21E-05,0.001165415,0.056219096,0.000601849
14,ElgUS1,46.54743772,0.003382851,3.42E-07,1.44E-05,0.003387379,1.46E-05,0,4.07E-06,5.93E-07,0.004109773,2.98E-07,2.48E-05,0.00412302,2.51E-05,0,1.42E-06,1.18E-05,0.013734104,2.68E-07,8.40E-07,0.013734971,1.14E-06,0,8.00E-07,5.48E-09,0.012672496,2.34E-07,2.00E-06,0.01267419,2.26E-06,0,2.00E-06,5.46E-09,S1,ELL,U1,0.027530964,0.02738741,0.00016147,0.027369493,0.000143553,0.027387395,0.000143553,1.53E-08,0.027075841,0.000311555,0.000143553,1.53E-08,5.01E-05,2.35E-05,8.78E-05,0.027369478,1.53E-08
15,HeDS,30.39975462,0,5.48E-05,0.000606015,0.000660838,0.000660838,8.34E-06,2.33E-05,0.000530375,0,4.66E-05,0.000626964,0.000673544,0.000673544,2.10E-05,2.13E-05,0.000534864,0,0.00078072,0.008519304,0.009300025,0.009300025,6.89E-05,1.69E-05,0.008408948,0,0.000777248,0.009382484,0.010159732,0.010159732,3.84E-05,1.15E-05,0.00931368,DS,HER,D,0.01791824,0.008683707,0.009341652,0.008576588,0.009234533,0.007242266,0.009234533,0.001441441,NA,0.007242266,0.009234533,0.001441441,0.000908003,2.42E-05,0.008409399,0.007135147,0.001441441
16,HeUS1,37.25752766,0,2.18E-06,2.80E-05,3.02E-05,3.02E-05,2.85E-06,1.48E-05,3.70E-08,0,1.90E-06,3.46E-05,3.65E-05,3.65E-05,7.08E-06,1.58E-05,3.66E-08,0,1.40E-06,5.72E-05,5.86E-05,5.86E-05,2.31E-05,1.26E-05,4.27E-08,0,1.22E-06,3.60E-05,3.72E-05,3.72E-05,1.30E-05,8.13E-06,4.27E-08,S1,HER,U1,0.000397758,0.000393831,5.94E-05,0.000338351,3.93E-06,0.000393222,3.93E-06,6.09E-07,NA,0.000393222,3.93E-06,6.09E-07,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07
17,HocDS,27.79810682,0,3.80E-05,0.000170597,0.000208641,0.000208641,5.20E-06,2.70E-05,9.84E-05,0,3.37E-05,0.000170129,0.000203786,0.000203786,8.60E-06,1.19E-05,0.000104151,0,0.000355017,0.001474079,0.001829096,0.001829096,2.19E-05,8.48E-06,0.001421048,0,0.000352994,0.00161245,0.001965444,0.001965444,1.34E-05,8.13E-06,0.001573544,DS,HOC,D,0.015056741,0.013624981,0.001476401,0.01358034,0.001431761,0.013053635,0.001431761,0.000571346,NA,0.013053635,0.001431761,0.000571346,4.46E-05,1.08E-05,0.001421048,0.013008995,0.000571346
18,HocUS1,34.78184597,0,8.47E-06,3.76E-05,4.61E-05,4.61E-05,2.63E-06,2.31E-05,1.04E-05,0,7.28E-06,3.32E-05,4.05E-05,4.05E-05,4.12E-06,6.22E-06,2.12E-05,0,7.66E-06,0.000226399,0.000234062,0.000234062,1.01E-05,3.19E-06,0.000210101,0,6.95E-06,0.000244893,0.000251845,0.000251845,6.28E-06,3.77E-06,0.000232753,S1,HOC,U1,0.003824846,0.003608363,0.000228723,0.003596123,0.000216483,0.003597888,0.000216483,1.05E-05,NA,0.003597888,0.000216483,1.05E-05,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05
19,HorDS,36.18748516,0,1.28E-05,0.000379269,0.000392088,0.000392088,0.000125886,7.28E-05,0.000180632,0,9.82E-06,0.000383023,0.000392844,0.000392844,0.000123064,7.51E-05,0.000184867,0,0.000569267,0.002476415,0.003045681,0.003045681,0.000137906,0.000125092,0.002213416,0,0.0005685,0.002756368,0.003324868,0.003324868,0.000128132,0.000177941,0.002450295,DS,HOR,D,0.004862081,0.002280478,0.002582628,0.002279453,0.002581603,0.001613947,0.002581603,0.000666531,NA,0.001613947,0.002581603,0.000666531,0.000243251,0.000125631,0.002213746,0.001612922,0.000666531
20,HorUS1,35.07463518,0,3.70E-07,1.43E-05,1.47E-05,1.47E-05,8.64E-07,5.95E-06,5.10E-07,0,3.15E-07,2.25E-05,2.28E-05,2.28E-05,8.44E-07,3.87E-06,9.82E-06,0,2.12E-07,1.79E-05,1.82E-05,1.82E-05,9.19E-07,2.39E-06,2.32E-08,0,1.87E-07,1.25E-05,1.27E-05,1.27E-05,8.37E-07,1.57E-06,2.32E-08,S1,HOR,U1,1.94E-05,0.000017399,1.86E-05,7.11E-07,1.96E-06,1.68E-05,1.96E-06,6.17E-07,NA,1.68E-05,1.96E-06,6.17E-07,1.57E-05,0.000002872,1.17E-07,0.000000094,6.17E-07
21,KeDS,19.77033214,0,6.01E-05,0.000763701,0.0008238,0.0008238,8.98E-05,7.62E-05,0.000535326,0,5.17E-05,0.000929118,0.000980821,0.000980821,0.000152314,6.17E-05,0.000644967,0,0.000616631,0.008872961,0.009489592,0.009489592,3.34E-05,8.26E-05,0.008723746,0,0.000612807,0.009796885,0.010409692,0.010409692,2.82E-05,8.08E-05,0.00966234,DS,KER,D,0.019730626,0.010899401,0.008877239,0.010853387,0.008831226,0.009908882,0.008831226,0.000990518,NA,0.009908882,0.008831226,0.000990518,6.70E-05,8.62E-05,0.00872403,0.009862869,0.000990518
22,KeUS1,23.5023227,0,1.83E-06,0.000138831,0.00014066,0.00014066,5.38E-05,6.47E-05,2.03E-05,0,1.44E-06,0.000284309,0.000285751,0.000285751,9.01E-05,6.09E-05,0.000133322,0,1.56E-06,0.000107035,0.000108592,0.000108592,1.79E-05,8.88E-05,2.68E-07,0,1.12E-06,0.000102806,0.000103923,0.000103923,1.41E-05,8.85E-05,2.12E-07,S1,KER,U1,0.000481964,0.000375021,0.000109629,0.000372335,0.000106943,0.000370316,0.000106943,4.71E-06,NA,0.000370316,0.000106943,4.71E-06,0.000018168,9.10E-05,5.03E-07,0.000367629,4.71E-06
23,KnDS,19.11649429,0.008050769,3.51E-05,4.97E-05,0.008123355,7.43E-05,5.10E-06,2.02E-05,2.20E-05,0.010377276,3.04E-05,5.69E-05,0.010442589,7.19E-05,8.77E-06,1.23E-05,3.43E-05,0.034101594,2.50E-05,0.000540334,0.037531291,0.000563753,3.14E-05,8.15E-06,0.000472294,0.03127716,2.24E-05,0.000577313,0.035433273,0.000598276,2.06E-05,7.95E-06,0.000523261,DS,KNO,D,0.044091267,0.04211236,0.002016803,0.042074464,0.001978907,0.040927698,0.001978907,0.001184662,0.034344308,0.00658339,0.001978907,0.001184662,0.000250253,9.88E-06,0.001756667,0.040889802,0.001184662
24,KnUS1,31.61442349,0.004426879,3.39E-07,1.99E-05,0.004480513,2.02E-05,1.13E-06,8.35E-06,5.43E-07,0.005794251,3.11E-07,2.20E-05,0.005813271,2.22E-05,2.63E-06,3.27E-06,1.08E-05,0.017546385,1.85E-07,1.58E-05,0.017607405,1.68E-05,8.68E-06,2.26E-06,5.02E-09,0.01659195,1.65E-07,1.04E-05,0.016890752,1.13E-05,4.80E-06,2.75E-06,5.00E-09,S1,KNO,U1,0.026365523,0.025461481,0.000913823,0.0254517,0.000904042,0.025461471,0.000904042,9.60E-09,0.025184157,0.000277314,0.000904042,9.60E-09,0.000263566,3.04E-06,0.000647212,0.025451691,9.60E-09
25,MaDS,26.02196869,0.009412406,2.65E-05,0.000389818,0.009941663,0.000416102,2.08E-05,9.54E-06,0.000332852,0.012294897,2.33E-05,0.000359892,0.012736516,0.000382028,2.62E-05,5.98E-06,0.000301593,0.039557557,2.06E-05,0.001334544,0.041308847,0.001663685,8.67E-05,4.52E-06,0.001216632,0.036800559,1.85E-05,0.001494285,0.038741429,0.001821695,7.35E-05,4.73E-06,0.001392385,DS,MAR,D,0.04764733,0.046376662,0.001302337,0.046344993,0.001270668,0.04623475,0.001270668,0.000141911,0.041952926,0.004281825,0.001270668,0.000141911,0.00010419,1.79E-05,0.001180236,0.046203082,0.000141911
