Year,Site,Location,Total_TU_mu,Total_TU_med,Total_TU_max,Metal_TU_mu,Metal_TU_med,Metal_TU_max,Fung_TU_mu,Herb_TU_mu,Insect_TU_mu,Other_TU_mu,Pharma_TU_mu,Fung_TU_med,Herb_TU_med,Insect_TU_med,Other_TU_med,Pharma_TU_med,Fung_TU_max,Herb_TU_max,Insect_TU_max,Other_TU_max,Pharma_TU_max,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,maxTU_HM,maxTU_Oth,maxTU_PB
2013,BUT,D,0.007423293,0.007423293,0.014475529,NA,NA,NA,3.86E-06,5.52E-05,0.005790889,0.00151754,5.58E-05,3.86E-06,5.52E-05,0.005790889,0.00151754,5.58E-05,7.71E-06,0.000107452,0.011581779,0.002667313,0.000111275,NA,5.97E-06,0.001088542,0.001094515,0.001094515,3.41E-06,0.00081908,0.000266051,NA,4.83E-06,0.005847215,0.005852048,0.005852048,NA,1.06E-05,0.002172539
2013,BUT,U1,1.70E-05,1.70E-05,3.03E-05,NA,NA,NA,2.22E-07,8.83E-06,8.00E-08,7.30E-06,5.28E-07,2.22E-07,8.83E-06,8.00E-08,7.30E-06,5.28E-07,4.43E-07,1.41E-05,1.60E-07,1.45E-05,1.06E-06,NA,6.30E-07,4.12E-05,4.18E-05,4.18E-05,2.03E-07,4.09E-05,6.93E-08,NA,5.09E-07,8.56E-06,9.07E-06,9.07E-06,NA,8.80E-07,7.69E-05
2013,BUT,U2,1.70E-05,1.70E-05,3.03E-05,NA,NA,NA,2.22E-07,8.83E-06,8.00E-08,7.30E-06,5.28E-07,2.22E-07,8.83E-06,8.00E-08,7.30E-06,5.28E-07,4.43E-07,1.41E-05,1.60E-07,1.45E-05,1.06E-06,NA,6.30E-07,4.12E-05,4.18E-05,4.18E-05,2.03E-07,4.09E-05,6.93E-08,NA,5.09E-07,8.56E-06,9.07E-06,9.07E-06,NA,8.80E-07,7.69E-05
2013,COL,D,0.001819358,0.001819358,0.002462409,NA,NA,NA,0.000127688,0.000111258,2.60E-06,0.001252457,0.000325353,0.000127688,0.000111258,2.60E-06,0.001252457,0.000325353,0.00024967,0.000221178,5.19E-06,0.001340073,0.000646299,NA,1.13E-05,0.000231591,0.000242868,0.000242868,1.04E-05,0.000122642,2.19E-05,NA,0.000255448,0.000158994,0.000414441,0.000414441,NA,1.46E-05,0.000455525
2013,COL,U1,0.000740263,0.000740263,0.00093321,NA,NA,NA,0.000136474,0.000110443,1.78E-07,0.000492871,2.96E-07,0.000136474,0.000110443,1.78E-07,0.000492871,2.96E-07,0.000261018,0.000218338,3.37E-07,0.000918626,5.06E-07,NA,1.24E-06,0.000151331,0.000152572,0.000152572,1.80E-05,0.000121019,1.23E-05,NA,8.94E-07,0.000124071,0.000124965,0.000124965,NA,1.76E-06,0.000291405
2013,COL,U2,0.000740263,0.000740263,0.00093321,NA,NA,NA,0.000136474,0.000110443,1.78E-07,0.000492871,2.96E-07,0.000136474,0.000110443,1.78E-07,0.000492871,2.96E-07,0.000261018,0.000218338,3.37E-07,0.000918626,5.06E-07,NA,1.24E-06,0.000151331,0.000152572,0.000152572,1.80E-05,0.000121019,1.23E-05,NA,8.94E-07,0.000124071,0.000124965,0.000124965,NA,1.76E-06,0.000291405
2013,DUR,D,0.007870081,0.007870081,0.012035872,NA,NA,NA,7.04E-05,1.51E-05,0.002843578,0.00407073,0.000870252,7.04E-05,1.51E-05,0.002843578,0.00407073,0.000870252,0.000129147,2.52E-05,0.005687089,0.004463861,0.001730559,NA,2.94E-05,0.000278069,0.000307486,0.000307486,5.43E-06,2.74E-05,0.000216149,NA,0.00072069,0.002920633,0.003641323,0.003641323,NA,4.15E-05,0.000540331
2013,DUR,U1,0.00059209,0.00059209,0.000690115,NA,NA,NA,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06,3.83E-05,1.84E-05,1.47E-07,0.000633287,2.46E-06,NA,1.92E-06,2.32E-05,2.51E-05,2.51E-05,1.55E-06,1.72E-05,2.96E-06,NA,9.63E-07,2.39E-05,2.49E-05,2.49E-05,NA,2.35E-06,3.68E-05
2013,DUR,U2,0.00059209,0.00059209,0.000690115,NA,NA,NA,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06,3.83E-05,1.84E-05,1.47E-07,0.000633287,2.46E-06,NA,1.92E-06,2.32E-05,2.51E-05,2.51E-05,1.55E-06,1.72E-05,2.96E-06,NA,9.63E-07,2.39E-05,2.49E-05,2.49E-05,NA,2.35E-06,3.68E-05
2013,HER,D,0.01791824,0.01791824,0.028576798,NA,NA,NA,0.000908003,2.42E-05,0.008409399,0.007135147,0.00144144,0.000908003,2.42E-05,0.008409399,0.007135147,0.00144144,0.001768153,4.44E-05,0.015769268,0.008134323,0.002860685,NA,5.48E-05,0.000606015,0.000660838,0.000660838,8.34E-06,2.33E-05,0.000530375,NA,0.00078072,0.008519304,0.009300025,0.009300025,NA,7.04E-05,0.001154528
2013,HER,U1,0.000397758,0.000397758,0.000411453,NA,NA,NA,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07,8.91E-05,2.76E-05,8.53E-08,0.000408394,1.08E-06,NA,2.18E-06,2.80E-05,3.02E-05,3.02E-05,2.85E-06,1.48E-05,3.70E-08,NA,1.40E-06,5.72E-05,5.86E-05,5.86E-05,NA,2.56E-06,5.37E-05
2013,HER,U2,0.000397758,0.000397758,0.000411453,NA,NA,NA,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07,8.91E-05,2.76E-05,8.53E-08,0.000408394,1.08E-06,NA,2.18E-06,2.80E-05,3.02E-05,3.02E-05,2.85E-06,1.48E-05,3.70E-08,NA,1.40E-06,5.72E-05,5.86E-05,5.86E-05,NA,2.56E-06,5.37E-05
