"","Index","Year","Site","Location","sumTU_HM","sumTU_Oth","sumTU_PB","log_TU_HM","log_TU_Oth","log_TU_PB","log_TU_PB_U1","maxTU_HM","maxTU_Oth","maxTU_PB","log_maxTU_HM","log_maxTU_Oth","log_maxTU_PB","log_maxTU_PB_U1"
"1",7,2013,"BUT","D",NA,5.97e-06,0.001088542,NA,-5.223834117,-2.963154776,-4.385130467,NA,1.06e-05,0.002172539,NA,-4.9739,-2.663,-4.113967757
"2",8,2013,"BUT","U1",NA,6.3e-07,4.12e-05,NA,-6.200858729,-4.385130467,-4.385130467,NA,8.8e-07,7.69e-05,NA,-6.0554,-4.114,-4.113967757
"3",8,2013,"BUT","U2",NA,6.3e-07,4.12e-05,NA,-6.200858729,-4.385130467,-4.385130467,NA,8.8e-07,7.69e-05,NA,-6.0554,-4.114,-4.113967757
"4",10,2013,"COL","D",NA,1.13e-05,0.000231591,NA,-4.947808824,-3.635278761,-3.820073434,NA,1.46e-05,0.000455525,NA,-4.8371,-3.3415,-3.535502358
"5",11,2013,"COL","U1",NA,1.24e-06,0.000151331,NA,-5.906007894,-3.820073434,-3.820073434,NA,1.76e-06,0.000291405,NA,-5.7539,-3.5355,-3.535502358
"6",11,2013,"COL","U2",NA,1.24e-06,0.000151331,NA,-5.906007894,-3.820073434,-3.820073434,NA,1.76e-06,0.000291405,NA,-5.7539,-3.5355,-3.535502358
"7",13,2013,"DUR","D",NA,2.94e-05,0.000278069,NA,-4.531402138,-3.555847359,-4.634360548,NA,4.15e-05,0.000540331,NA,-4.3821,-3.2673,-4.434554036
"8",14,2013,"DUR","U1",NA,1.92e-06,2.32e-05,NA,-5.717610128,-4.634360548,-4.634360548,NA,2.35e-06,3.68e-05,NA,-5.6296,-4.4346,-4.434554036
"9",14,2013,"DUR","U2",NA,1.92e-06,2.32e-05,NA,-5.717610128,-4.634360548,-4.634360548,NA,2.35e-06,3.68e-05,NA,-5.6296,-4.4346,-4.434554036
"10",22,2013,"HER","D",NA,5.48e-05,0.000606015,NA,-4.261033608,-3.217516751,-4.553108467,NA,7.04e-05,0.001154528,NA,-4.1524,-2.9376,-4.270095952
"11",23,2013,"HER","U1",NA,2.18e-06,2.8e-05,NA,-5.660687564,-4.553108467,-4.553108467,NA,2.56e-06,5.37e-05,NA,-5.5918,-4.2701,-4.270095952
"12",23,2013,"HER","U2",NA,2.18e-06,2.8e-05,NA,-5.660687564,-4.553108467,-4.553108467,NA,2.56e-06,5.37e-05,NA,-5.5918,-4.2701,-4.270095952
"13",25,2013,"HOC","D",NA,3.8e-05,0.000170597,NA,-4.419715809,-3.768027593,-4.425029803,NA,4.8e-05,0.000308306,NA,-4.3188,-3.511,-4.172945587
"14",26,2013,"HOC","U1",NA,8.47e-06,3.76e-05,NA,-5.07213551,-4.425029803,-4.425029803,NA,1.53e-05,6.72e-05,NA,-4.8144,-4.1729,-4.172945587
"15",26,2013,"HOC","U2",NA,8.47e-06,3.76e-05,NA,-5.07213551,-4.425029803,-4.425029803,NA,1.53e-05,6.72e-05,NA,-4.8144,-4.1729,-4.172945587
"16",28,2013,"HOR","D",NA,1.28e-05,0.000379269,NA,-4.892152617,-3.421052177,-4.843493027,NA,1.71e-05,0.000755927,NA,-4.767,-3.1215,-4.570215946
"17",29,2013,"HOR","U1",NA,3.7e-07,1.43e-05,NA,-6.431718365,-4.843493027,-4.843493027,NA,5.9e-07,2.69e-05,NA,-6.2289,-4.5702,-4.570215946
"18",29,2013,"HOR","U2",NA,3.7e-07,1.43e-05,NA,-6.431718365,-4.843493027,-4.843493027,NA,5.9e-07,2.69e-05,NA,-6.2289,-4.5702,-4.570215946
"19",31,2013,"KER","D",NA,6.01e-05,0.000763701,NA,-4.221132339,-3.117076514,-3.857512957,NA,7.18e-05,0.001458794,NA,-4.1437,-2.836,-3.588539347
"20",32,2013,"KER","U1",NA,1.83e-06,0.000138831,NA,-5.73791508,-3.857512957,-3.857512957,NA,3.08e-06,0.000257906,NA,-5.5115,-3.5885,-3.588539347
"21",32,2013,"KER","U2",NA,1.83e-06,0.000138831,NA,-5.73791508,-3.857512957,-3.857512957,NA,3.08e-06,0.000257906,NA,-5.5115,-3.5885,-3.588539347
"22",46,2013,"MES","D",NA,1.51e-05,0.003358402,NA,-4.822457908,-2.473867368,-3.256475262,NA,2.12e-05,0.00670149,NA,-4.6744,-2.1738,-2.960911894
"23",47,2013,"MES","U1",NA,2.74e-07,0.000554019,NA,-6.561771237,-3.256475262,-3.256475262,NA,4.55e-07,0.001094178,NA,-6.3422,-2.9609,-2.960911894
"24",47,2013,"MES","U2",NA,2.74e-07,0.000554019,NA,-6.561771237,-3.256475262,-3.256475262,NA,4.55e-07,0.001094178,NA,-6.3422,-2.9609,-2.960911894
"25",52,2013,"NIE","D",NA,1.41e-05,0.000101001,NA,-4.851927781,-3.995675458,-5.516187179,NA,1.91e-05,0.000200619,NA,-4.7184,-3.6976,-5.345550188
"26",53,2013,"NIE","U1",NA,3.01e-07,3.05e-06,NA,-6.522155142,-5.516187179,-5.516187179,NA,3.19e-07,4.51e-06,NA,-6.4968,-5.3456,-5.345550188
"27",53,2013,"NIE","U2",NA,3.01e-07,3.05e-06,NA,-6.522155142,-5.516187179,-5.516187179,NA,3.19e-07,4.51e-06,NA,-6.4968,-5.3456,-5.345550188
"28",58,2013,"ROM","D",NA,2.15e-05,0.000145878,NA,-4.668095402,-3.836008927,-4.499427936,NA,2.46e-05,0.000158392,NA,-4.6097,-3.8003,-4.299702099
"29",59,2013,"ROM","U1",NA,2.75e-06,3.17e-05,NA,-5.56125744,-4.499427936,-4.499427936,NA,3.6e-06,5.02e-05,NA,-5.4443,-4.2997,-4.299702099
"30",59,2013,"ROM","U2",NA,2.75e-06,3.17e-05,NA,-5.56125744,-4.499427936,-4.499427936,NA,3.6e-06,5.02e-05,NA,-5.4443,-4.2997,-4.299702099
"31",64,2013,"ROT","D",NA,4.4e-06,5.19e-06,NA,-5.356457869,-5.284755856,-5.832365103,NA,4.44e-06,7.25e-06,NA,-5.3522,-5.1394,-5.703589788
"32",65,2013,"ROT","U1",NA,3.43e-07,1.47e-06,NA,-6.464673694,-5.832365103,-5.832365103,NA,4.44e-07,1.98e-06,NA,-6.3526,-5.7036,-5.703589788
"33",65,2013,"ROT","U2",NA,3.43e-07,1.47e-06,NA,-6.464673694,-5.832365103,-5.832365103,NA,4.44e-07,1.98e-06,NA,-6.3526,-5.7036,-5.703589788
"34",67,2013,"SEV","D",NA,7.98e-06,0.000161071,NA,-5.097806754,-3.792982174,-4.02436922,NA,9.76e-06,0.000281737,NA,-5.0104,-3.5502,-3.82392258
"35",68,2013,"SEV","U1",NA,8.27e-07,9.45e-05,NA,-6.082270255,-4.02436922,-4.02436922,NA,1.08e-06,0.000149995,NA,-5.9668,-3.8239,-3.82392258
"36",68,2013,"SEV","U2",NA,8.27e-07,9.45e-05,NA,-6.082270255,-4.02436922,-4.02436922,NA,1.08e-06,0.000149995,NA,-5.9668,-3.8239,-3.82392258
"37",1,2014,"AAD","D",0.008924313,4.02e-05,0.000363698,-2.049425191,-4.395810218,-3.439258565,-5.082862374,0.012145019,6.13e-05,0.002173513,-1.9156,-4.2124,-2.6628,-4.395508069
"38",2,2014,"AAD","U1",0.003964485,5.77e-07,8.26e-06,-2.401813273,-6.239144234,-5.082862374,-5.082862374,0.00847549,1.9e-06,4.02e-05,-2.0718,-5.7204,-4.3955,-4.395508069
"39",2,2014,"AAD","U2",0.003964485,5.77e-07,8.26e-06,-2.401813273,-6.239144234,-5.082862374,-5.082862374,0.00847549,1.9e-06,4.02e-05,-2.0718,-5.7204,-4.3955,-4.395508069
"40",4,2014,"BIR","D",0.009890505,3.23e-05,0.000165031,-2.004781537,-4.491330973,-3.782434475,-4.295112308,0.015398699,5.38e-05,0.000659623,-1.8125,-4.2693,-3.1807,-3.78203739
"41",5,2014,"BIR","U1",0.004900657,4.24e-07,5.07e-05,-2.30974567,-6.372470183,-4.295112308,-4.295112308,0.007341892,2.8e-06,0.000165182,-2.1342,-5.5521,-3.782,-3.78203739
"42",5,2014,"BIR","U2",0.004900657,4.24e-07,5.07e-05,-2.30974567,-6.372470183,-4.295112308,-4.295112308,0.007341892,2.8e-06,0.000165182,-2.1342,-5.5521,-3.782,-3.78203739
"43",16,2014,"ELG","D",0.010545144,4.53e-05,0.00019599,-1.976947506,-4.344224924,-3.707766577,-4.814686118,0.016568874,6.73e-05,0.000388541,-1.7807,-4.1719,-3.4106,-3.883441704
"44",17,2014,"ELG","U1",0.006184992,2.44e-07,1.53e-05,-2.208660876,-6.612158792,-4.814686118,-4.814686118,0.007862128,3.07e-06,0.000130785,-2.1045,-5.5134,-3.8834,-3.883441704
"45",17,2014,"ELG","U2",0.006184992,2.44e-07,1.53e-05,-2.208660876,-6.612158792,-4.814686118,-4.814686118,0.007862128,3.07e-06,0.000130785,-2.1045,-5.5134,-3.8834,-3.883441704
"46",19,2014,"ELL","D",0.008274555,2.73e-05,9.04e-05,-2.082255353,-4.564332428,-4.043712437,-4.842127799,0.020272293,8.58e-05,0.000606329,-1.6931,-4.0664,-3.2173,-3.724561418
"47",20,2014,"ELL","U1",0.003382851,3.42e-07,1.44e-05,-2.470717178,-6.466322796,-4.842127799,-4.842127799,0.011283953,1.4e-06,0.000188555,-1.9475,-5.8539,-3.7246,-3.724561418
"48",20,2014,"ELL","U2",0.003382851,3.42e-07,1.44e-05,-2.470717178,-6.466322796,-4.842127799,-4.842127799,0.011283953,1.4e-06,0.000188555,-1.9475,-5.8539,-3.7246,-3.724561418
"49",34,2014,"KNO","D",0.008050769,3.51e-05,4.97e-05,-2.094162631,-4.454924491,-4.303565543,-4.700063524,0.013904152,8.88e-05,0.001745186,-1.8569,-4.0515,-2.7582,-2.825785656
"50",35,2014,"KNO","U1",0.004426879,3.39e-07,1.99e-05,-2.35390232,-6.469432843,-4.700063524,-4.700063524,0.014736654,1.97e-06,0.001493531,-1.8316,-5.7052,-2.8258,-2.825785656
"51",35,2014,"KNO","U2",0.004426879,3.39e-07,1.99e-05,-2.35390232,-6.469432843,-4.700063524,-4.700063524,0.014736654,1.97e-06,0.001493531,-1.8316,-5.7052,-2.8258,-2.825785656
"52",43,2014,"MAR","D",0.009412406,2.65e-05,0.000389818,-2.026299338,-4.577479002,-3.409138657,-4.65057758,0.015357983,6.22e-05,0.00082405,-1.8137,-4.2061,-3.084,-3.968866254
"53",44,2014,"MAR","U1",0.00624901,2.07e-07,2.24e-05,-2.204188773,-6.683601584,-4.65057758,-4.65057758,0.009831203,3.95e-07,0.000107432,-2.0074,-6.4031,-3.9689,-3.968866254
"54",44,2014,"MAR","U2",0.00624901,2.07e-07,2.24e-05,-2.204188773,-6.683601584,-4.65057758,-4.65057758,0.009831203,3.95e-07,0.000107432,-2.0074,-6.4031,-3.9689,-3.968866254
"55",49,2014,"MUR","D",0.010021085,5.04e-05,0.00096258,-1.999085255,-4.297529879,-3.016563286,-5.072497022,0.013895205,0.000132863,0.009235689,-1.8571,-3.8766,-2.0345,-3.064836267
"56",50,2014,"MUR","U1",0.001784024,5.3e-08,8.46e-06,-2.748599412,-7.27545074,-5.072497022,-5.072497022,0.003930572,2.93e-07,0.000861318,-2.4055,-6.5329,-3.0648,-3.064836267
"57",50,2014,"MUR","U2",0.001784024,5.3e-08,8.46e-06,-2.748599412,-7.27545074,-5.072497022,-5.072497022,0.003930572,2.93e-07,0.000861318,-2.4055,-6.5329,-3.0648,-3.064836267
"58",55,2014,"REI","D",0.007147651,4.4e-05,9.16e-05,-2.145836678,-4.356925778,-4.03791314,-5.10252583,0.021833475,9.3e-05,0.000741114,-1.6609,-4.0315,-3.1301,-4.137609156
"59",56,2014,"REI","U1",0.003630828,3.84e-07,7.9e-06,-2.439994279,-6.415989653,-5.10252583,-5.10252583,0.010132294,3.02e-06,7.28e-05,-1.9943,-5.5199,-4.1376,-4.137609156
"60",56,2014,"REI","U2",0.003630828,3.84e-07,7.9e-06,-2.439994279,-6.415989653,-5.10252583,-5.10252583,0.010132294,3.02e-06,7.28e-05,-1.9943,-5.5199,-4.1376,-4.137609156
"61",70,2014,"UNT","D",0.012887915,5.19e-05,0.000358138,-1.889817345,-4.285057002,-3.445949644,-4.639755895,0.018595679,6.39e-05,0.002572666,-1.7306,-4.1944,-2.5896,-3.497910603
"62",71,2014,"UNT","U1",0.006744247,6.92e-07,2.29e-05,-2.171066507,-6.159839518,-4.639755895,-4.639755895,0.015483375,1.09e-06,0.000317753,-1.8101,-5.9606,-3.4979,-3.497910603
"63",71,2014,"UNT","U2",0.006744247,6.92e-07,2.29e-05,-2.171066507,-6.159839518,-4.639755895,-4.639755895,0.015483375,1.09e-06,0.000317753,-1.8101,-5.9606,-3.4979,-3.497910603
"64",73,2014,"VAL","D",0.012065855,8.69e-05,0.000678113,-1.918441892,-4.060972037,-3.168698183,-4.930853256,0.027530876,0.000158094,0.002541737,-1.5602,-3.8011,-2.5949,-3.935334696
"65",74,2014,"VAL","U1",0.005479841,2.68e-06,1.17e-05,-2.261232019,-5.572199435,-4.930853256,-4.930853256,0.013198546,2.98e-05,0.000116055,-1.8795,-4.5253,-3.9353,-3.935334696
