"Year","Site","Location","SPEAR","median_msPAFraMix_all","median_msPAFraMix_HM","median_msPAFraMix_Oth","median_msPAFraMix_PB","median_msPAFraMix_org","median_msPAFraMix_F","median_msPAFraMix_H","median_msPAFraMix_I","median_sumTU_HM_gm","median_sumTU_Oth_gm","median_sumTU_PB_gm","median_sumTU_all_gm","median_sumTU_org_gm","median_sumTU_F_gm","median_sumTU_H_gm","median_sumTU_I_gm","median_sumTU_HM_med","median_sumTU_Oth_med","median_sumTU_PB_med","median_sumTU_all_med","median_sumTU_org_med","median_sumTU_F_med","median_sumTU_H_med","median_sumTU_I_med","median_sumTU_HM.DM_gm","median_sumTU_Oth.DM_gm","median_sumTU_PB.DM_gm","median_sumTU_all.DM_gm","median_sumTU_org.DM_gm","median_sumTU_F.DM_gm","median_sumTU_H.DM_gm","median_sumTU_I.DM_gm","median_sumTU_HM.DM_med","median_sumTU_Oth.DM_med","median_sumTU_PB.DM_med","median_sumTU_all.DM_med","median_sumTU_org.DM_med","median_sumTU_F.DM_med","median_sumTU_H.DM_med","median_sumTU_I.DM_med"
2013,"BUT","D",25.28291681,0.002359114,NA,1.87e-05,0.002340541,0.002359114,0,0.001933763,0.000408357,0,5.97e-06,0.001088542,0.001094515,0.001094515,3.41e-06,0.00081908,0.000266051,0,5.33e-06,0.000440379,0.000445712,0.000445712,3.16e-06,0.000159984,0.000277235,0,4.83e-06,0.005847215,0.005852048,0.005852048,3.76e-06,5.26e-05,0.005790889,0,4.38e-06,0.006564006,0.00656839,0.00656839,3.19e-06,5.07e-05,0.006510135
2013,"BUT","U1",28.76560538,1.55e-05,NA,1.7e-07,1.54e-05,1.55e-05,0,1.54e-05,0,0,6.3e-07,4.12e-05,4.18e-05,4.18e-05,2.03e-07,4.09e-05,6.93e-08,0,5.65e-07,1.96e-05,2.02e-05,2.02e-05,1.65e-07,1.94e-05,6.86e-08,0,5.09e-07,8.56e-06,9.07e-06,9.07e-06,2.22e-07,8.26e-06,8e-08,0,4.08e-07,7.4e-06,7.81e-06,7.81e-06,1.58e-07,7.16e-06,8e-08
2013,"BUT","U2",28.76560538,1.55e-05,NA,1.7e-07,1.54e-05,1.55e-05,0,1.54e-05,0,0,6.3e-07,4.12e-05,4.18e-05,4.18e-05,2.03e-07,4.09e-05,6.93e-08,0,5.65e-07,1.96e-05,2.02e-05,2.02e-05,1.65e-07,1.94e-05,6.86e-08,0,5.09e-07,8.56e-06,9.07e-06,9.07e-06,2.22e-07,8.26e-06,8e-08,0,4.08e-07,7.4e-06,7.81e-06,7.81e-06,1.58e-07,7.16e-06,8e-08
2013,"COL","D",22.09069338,0.002437057,NA,2.37e-05,0.002413427,0.002437057,0,0.002320121,9.33e-05,0,1.13e-05,0.000231591,0.000242868,0.000242868,1.04e-05,0.000122642,2.19e-05,0,9.91e-06,0.000255976,0.000265887,0.000265887,1.24e-05,0.000120277,3.48e-05,0,0.000255448,0.000158994,0.000414441,0.000414441,1.04e-05,0.000108732,2.6e-06,0,0.000255059,0.000145014,0.000400072,0.000400072,8.33e-06,0.00010487,2.33e-06
2013,"COL","U1",23.15056893,0.002320375,NA,2.79e-07,0.002320097,0.002320375,0,0.00217675,0.000143483,0,1.24e-06,0.000151331,0.000152572,0.000152572,1.8e-05,0.000121019,1.23e-05,0,1.17e-06,0.00017288,0.000174048,0.000174048,2.12e-05,0.000118753,3.29e-05,0,8.94e-07,0.000124071,0.000124965,0.000124965,1.58e-05,0.000108111,1.72e-07,0,8.49e-07,0.000119048,0.000119897,0.000119897,1.27e-05,0.000106189,1.27e-07
2013,"COL","U2",23.15056893,0.002320375,NA,2.79e-07,0.002320097,0.002320375,0,0.00217675,0.000143483,0,1.24e-06,0.000151331,0.000152572,0.000152572,1.8e-05,0.000121019,1.23e-05,0,1.17e-06,0.00017288,0.000174048,0.000174048,2.12e-05,0.000118753,3.29e-05,0,8.94e-07,0.000124071,0.000124965,0.000124965,1.58e-05,0.000108111,1.72e-07,0,8.49e-07,0.000119048,0.000119897,0.000119897,1.27e-05,0.000106189,1.27e-07
2013,"DUR","D",25.63395136,0.000455673,NA,0.000143404,0.000312319,0.000455673,2.1e-09,1.66e-05,0.000295742,0,2.94e-05,0.000278069,0.000307486,0.000307486,5.43e-06,2.74e-05,0.000216149,0,2.42e-05,0.000311715,0.000335953,0.000335953,1.36e-05,1.27e-05,0.000252651,0,0.00072069,0.002920633,0.003641323,0.003641323,4.47e-05,8.49e-06,0.002843126,0,0.00071894,0.003196924,0.003915864,0.003915864,2.49e-05,6.27e-06,0.003147915
2013,"DUR","U1",30.52156802,9.17e-05,NA,4e-10,9.17e-05,9.17e-05,2e-10,7.51e-06,8.42e-05,0,1.92e-06,2.32e-05,2.51e-05,2.51e-05,1.55e-06,1.72e-05,2.96e-06,0,1.86e-06,3.83e-05,4.02e-05,4.02e-05,4.59e-06,7.38e-06,2.46e-05,0,9.63e-07,2.39e-05,2.49e-05,2.49e-05,1.6e-05,4.65e-06,9.72e-08,0,9e-07,1.45e-05,1.54e-05,1.54e-05,8.72e-06,3.45e-06,9.71e-08
2013,"DUR","U2",30.52156802,9.17e-05,NA,4e-10,9.17e-05,9.17e-05,2e-10,7.51e-06,8.42e-05,0,1.92e-06,2.32e-05,2.51e-05,2.51e-05,1.55e-06,1.72e-05,2.96e-06,0,1.86e-06,3.83e-05,4.02e-05,4.02e-05,4.59e-06,7.38e-06,2.46e-05,0,9.63e-07,2.39e-05,2.49e-05,2.49e-05,1.6e-05,4.65e-06,9.72e-08,0,9e-07,1.45e-05,1.54e-05,1.54e-05,8.72e-06,3.45e-06,9.71e-08
2013,"HER","D",30.39975462,0.000934873,NA,0.000297383,0.000637666,0.000934873,3.65e-09,4.19e-05,0.000595804,0,5.48e-05,0.000606015,0.000660838,0.000660838,8.34e-06,2.33e-05,0.000530375,0,4.66e-05,0.000626964,0.000673544,0.000673544,2.1e-05,2.13e-05,0.000534864,0,0.00078072,0.008519304,0.009300025,0.009300025,6.89e-05,1.69e-05,0.008408948,0,0.000777248,0.009382484,0.010159732,0.010159732,3.84e-05,1.15e-05,0.00931368
