Year,Site,Location,Cond,pH,Alkal,Hard,Na,K,Ca,Mg,NH4,NO2,NO3,TN,SRP,TP,Ch,S,TOC,DOC,Silica,SS
2013,BUT,U1,521.25,8.15,5.67,3.02,8.37,3.16,105.04,9.23,99.89,13.54,3.89,4.1,36.25,66.21,12.48,10.33,2.86,2.67,11.83,9.99
2013,BUT,U2,518.36,8.15,5.65,3.01,8.01,3.22,105.3,9.22,71.09,13.31,3.97,4.17,35.75,62.18,11.67,9.91,3.28,2.64,11.8,9.73
2013,BUT,D,584.83,8.12,5.69,3.08,18.64,4.11,107.73,8.95,170.12,42.48,6.19,6.62,79.98,132.08,24.3,13.83,4.2,3.52,10.88,10.23
2013,COL,U1,566.5,8.14,5.65,3.25,8.61,2.85,108.98,11.18,36.85,20.21,6.48,6.5,22.54,50.1,16.67,18.9,3.23,2.63,12.03,10.49
2013,COL,U2,563.45,8.13,5.65,3.24,8.65,2.94,110.07,11.18,39.32,22.4,6.35,6.52,23.12,52.01,16.14,18.91,3.35,2.62,12.42,10.92
2013,COL,D,590.42,8.13,5.63,3.27,12.64,3.62,110.54,11.37,187.18,43.93,7.43,7.61,44.39,144.93,23.62,19.87,4.51,2.86,12.22,16.1
2013,DUR,U1,484.75,8.23,5.4,2.8,9.8,1.98,85.53,16.77,32.37,19.57,1.56,1.73,19.46,40.69,16.23,6.82,3.15,2.81,7.74,5
2013,DUR,U2,485.64,8.22,5.41,2.82,9.69,2.04,84.05,16.48,31.5,17.48,1.55,1.75,20.21,43.15,15.78,7,3.35,2.88,8.08,5.99
2013,DUR,D,531.42,8.2,5.23,2.8,17.95,3.68,84.57,16.24,107.28,40.39,3.4,3.67,43.6,72.24,29.11,9.5,3.65,3.13,8.35,5.18
2013,HER,U1,567.08,8.32,4.89,2.67,30.22,3.33,77.14,17.47,44.38,5.86,1.33,1.62,18.75,41,58.84,6.42,3.03,2.56,7.72,10.73
2013,HER,U2,603.91,8.31,4.9,2.8,41.87,4.95,80.71,18.09,17.68,5.97,1.32,1.48,13.76,31.62,83.49,6.55,2.79,2.49,7.92,10.08
2013,HER,D,624.92,8.16,4.83,2.65,43.31,5.55,77.18,16.84,47.33,6.67,3.58,4.02,133.39,198.06,66.13,17.42,4.7,4.22,8.58,8.09
2013,HOC,U1,492.75,8.18,5.03,2.69,11.74,2.95,92.3,8.93,40.24,13.13,3.53,3.67,30.94,60.77,18.25,10.25,3.46,3.2,8.37,7.03
2013,HOC,U2,492.82,8.17,5.01,2.69,11.56,2.89,91.24,8.95,39.96,13.15,3.52,3.7,31.9,63.49,17.78,10.36,3.71,3.29,8.71,7.14
2013,HOC,D,631,8.16,5.19,2.81,37.32,4.87,96.02,9.28,501.67,35.73,6.91,7.33,43.46,92.85,46.76,19.08,4.19,3.65,9.7,6.74
2013,HOR,U1,502.75,8.17,4.86,2.97,7.5,1.69,104.88,7.32,9.07,2.28,2.72,2.78,5.01,13.94,13.85,44.92,2.56,1.99,8.56,3.22
2013,HOR,U2,492.36,8.17,4.97,2.88,8.02,1.72,104.03,5.96,7.72,2.09,2.76,2.85,6.5,14.18,14.76,29.73,2.47,1.97,8.79,3.25
2013,HOR,D,534.42,8.2,4.91,3.01,12.98,2.59,107.71,7.35,19.99,14.46,3.89,3.95,27,40.91,21.71,43.75,2.73,2.24,8.9,2.63
2013,KER,U1,533,8.22,5.36,3.06,11.6,2.59,99.25,13.03,28.77,31.5,5.13,5.22,14.61,44.45,20.4,21.75,4.15,3.52,13.94,7.14
2013,KER,U2,525.64,8.2,5.33,3.05,10.55,2.74,99.94,12.8,29.35,33.15,4.89,5,14.13,43.24,18.08,22.18,4.07,3.75,13.88,6.47
2013,KER,D,584.58,8.1,5.2,3.01,23.07,5.02,97.53,12.52,44.88,30.07,5.99,6.06,32.59,73.68,35.49,27.42,4.71,3.68,14.77,6.93
2013,MES,U1,514.75,8.09,5.54,3.02,9.23,2.33,101.53,12.1,42.11,21.25,4.08,4.2,14.1,48.37,12.97,15.17,4.67,4.41,14.68,5.84
2013,MES,U2,519.55,8.11,5.64,3.07,9,2.2,102.55,11.23,34.93,21.27,4.06,4.13,13.56,43.48,12.46,15,4.29,4.39,14.95,4.25
2013,MES,D,525.83,8.1,5.47,3.01,11.48,2.84,100.48,11.68,111.73,21.73,4.83,4.94,21.03,56.98,16.04,17.08,4.38,4.43,14.8,5.63
2013,NIE,U1,669.5,8.26,4.69,4.06,6.23,1.67,131.89,18.92,7.7,2.54,1.95,2.16,14.72,25.32,9.56,165.5,2.04,1.74,8.63,4.2
2013,NIE,U2,679.36,8.24,4.66,4.12,5.91,1.74,133.63,19.35,6.82,1.75,1.85,1.92,15.89,25.21,8.75,173.82,1.76,1.64,8.71,4.36
2013,NIE,D,702.08,8.28,4.68,4.03,15.63,2.33,129.86,18.48,11.94,14.43,2.78,2.84,205.67,220.47,18.28,167.08,2.25,2.04,8.69,4.65
2013,ROM,U1,497.83,8.11,5.35,2.85,8.53,2.43,95.64,10.01,32.41,11.85,3.08,3.15,27.67,55.58,14.02,8.98,2.54,2.13,14.18,4.89
2013,ROM,U2,495.45,8.12,5.33,2.83,8.43,2.28,95.15,10.05,31.42,12.09,3,3.07,33.57,53.63,13.76,8.98,2.4,2.22,13.18,5.05
2013,ROM,D,524.25,8.11,5.27,2.83,13.8,3.13,94.93,10.17,56.5,17.46,3.6,3.73,48.88,74.03,22.41,10.15,2.67,2.33,14.13,4.98
2013,ROT,U1,342.5,8.2,3.86,1.96,4.83,1.29,64.81,7.72,25.81,5.98,0.83,1.08,8.25,22.87,6.68,4.67,2.43,2.11,6.06,3.24
2013,ROT,U2,338.64,8.21,3.81,1.93,4.54,1.36,63.5,7.62,30.83,3.39,0.8,0.95,8.64,22.75,5.99,4.64,2.39,2.02,6.14,3.96
2013,ROT,D,351.5,8.19,3.86,1.96,6.28,1.75,64.58,7.77,38.41,9.71,1.01,1.18,28.73,51.05,8.45,5.25,2.43,2.29,6.16,4.95
2013,SEV,U1,475.5,8.22,5.2,2.82,5.53,2.11,96.75,8.36,31.66,9.77,3.39,3.57,48.07,79.95,8.47,11.93,4.82,3.93,13.1,8.62
2013,SEV,U2,478.27,8.22,5.24,2.83,5.25,2.25,98.15,8.45,30.53,9.75,3.32,3.46,50.88,84.81,7.97,11.85,4.6,4.03,13.49,8.01
2013,SEV,D,512,8.21,5.05,2.82,11.78,3.27,96.78,8.53,45.08,30.97,4.89,5.09,59.82,105.78,18.42,13.33,4.48,3.97,13.25,8.3
2014,AAD,D,627.82,8.178,6.076,3.355,21.839,3.889,88.698,25.59,45.3,70.86,6.44,6.81,49.3,92.06,34.03,12.49,2.82,2.59,9.89,1.5
2014,AAD,U1,525.12,8.18,6.21,3.238,5.954,1.083,82.711,25.64,16.08,8.46,2.42,2.52,5.68,24.02,8.99,6.89,2.11,1.95,9.01,3.1
2014,AAD,U2,525.22,8.176,6.218,3.241,6.064,1.633,84.088,25.47,10.5,4.16,2.41,2.52,5.74,17.26,9.03,6.83,2.16,1.97,9.03,2.85
2014,BIR,D,545.82,8.164,5.25,2.832,20.29,6.693,77.438,17.43,9.56,11.26,3.67,3.89,37.1,67.2,28.65,15.96,2.84,2.62,9.03,6.1
2014,BIR,U1,483.8,8.234,5.273,2.758,10.901,5.683,73.502,17.18,7.96,2.66,1.45,1.69,9.9,22.04,16.4,10.66,2.63,2.35,8.04,6.6
2014,BIR,U2,481.88,8.242,5.287,2.754,10.889,5.798,73.598,17.3,6.74,2.44,1.47,1.94,7.72,18.86,16.56,10.67,3.13,2.75,8.05,6
2014,ELG,D,561.64,8.244,5.813,3.074,18.389,2.758,77.901,25.07,116.44,41.04,3.68,3.96,73.12,96.22,26.94,11.22,2.73,2.42,9.43,3.55
2014,ELG,U1,507.88,8.304,5.859,3.075,6.864,1.312,78.055,25.55,12.32,5.3,2.53,2.71,16.02,29.72,12.11,7.08,2.43,2.05,9.09,4.05
