"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value",""
"1","Kdd_alder","Food_3",0.4148,"0.1296",18,3.2008,0.005,"**"
"2","Kdd_alder","WW_fraction",-0.2452,"0.0918",18,-2.6708,0.0156,"*"
"3","Food_3","Insecticide_TUs",-0.4881,"0.1542",18,-3.1645,0.0054,"**"
"4","Food_3","SRP",0.3861,"0.1479",18,2.6114,0.0177,"*"
"5","SRP","WW_fraction",0.6956,"0.1001",19,6.9478,0,"***"
"6","Insecticide_TUs","WW_fraction",0.6588,"0.0984",19,6.6962,0,"***"
"7","Insecticide_TUs","Cropping",0.3434,"0.136",17,2.5257,0.0218,"*"
"8","Fungicide_TUs","WW_fraction",0.4956,"0.0885",19,5.6006,0,"***"
"9","DIN","WW_fraction",0.4377,"0.055",19,7.9515,0,"***"
"10","DIN","Cropping",0.8169,"0.0919",17,8.8888,0,"***"
"11","~~Fungicide_TUs","~~Insecticide_TUs",0.2279,"-",40,1.4239,0.0814,""
"12","~~SRP","~~Fungicide_TUs",0.2273,"-",40,1.4195,0.0821,""
"13","~~DIN","~~Fungicide_TUs",-0.0484,"-",40,-0.295,0.3848,""
"14","~~DIN","~~Insecticide_TUs",0.3014,"-",40,1.923,0.0311,"*"
"15","~~SRP","~~Insecticide_TUs",0.1825,"-",40,1.1288,0.1331,""
"16","~~DIN","~~SRP",0.1573,"-",40,0.9691,0.1694,""
