"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","Kdd_alder","Gammaridae",0.1844,"0.0699",18,2.6391,0.0167,0.3564,"*"
"2","Kdd_alder","WW_fraction",-0.8416,"0.3442",18,-2.445,0.025,-0.2569,"*"
"3","Gammaridae","Insecticide_TUs",-0.1342,"0.033",17,-4.0616,8e-04,-0.693,"***"
"4","Gammaridae","SRP",0.3325,"0.1443",17,2.3044,0.0341,0.332,"*"
"5","Gammaridae","DIN",0.9632,"0.3033",17,3.1761,0.0055,0.5171,"**"
"6","SRP","WW_fraction",4.3973,"0.6329",19,6.9478,0,0.6956,"***"
"7","Insecticide_TUs","WW_fraction",21.5431,"3.2172",19,6.6962,0,0.6588,"***"
"8","Insecticide_TUs","Cropping",1.3941,"0.5519",17,2.5257,0.0218,0.3434,"*"
"9","NonInsecticide_TUs","WW_fraction",10.2479,"1.0764",19,9.5207,0,0.8115,"***"
"10","DIN","WW_fraction",1.4879,"0.1871",19,7.9515,0,0.4377,"***"
"11","DIN","Cropping",0.3448,"0.0388",17,8.8888,0,0.8169,"***"
"12","~~NonInsecticide_TUs","~~Insecticide_TUs",0.4031,"-",40,2.6794,0.0055,0.4031,"**"
"13","~~SRP","~~NonInsecticide_TUs",0.5542,"-",40,4.0501,1e-04,0.5542,"***"
"14","~~DIN","~~NonInsecticide_TUs",0.0297,"-",40,0.1806,0.4288,0.0297,""
"15","~~DIN","~~Insecticide_TUs",0.3014,"-",40,1.923,0.0311,0.3014,"*"
"16","~~SRP","~~Insecticide_TUs",0.1825,"-",40,1.1288,0.1331,0.1825,""
"17","~~DIN","~~SRP",0.1573,"-",40,0.9691,0.1694,0.1573,""
