"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value",""
"1","Kdd_alder","Gammaridae",0.3564,"0.1351",18,2.6391,0.0167,"*"
"2","Kdd_alder","WW_fraction",-0.2569,"0.1051",18,-2.445,0.025,"*"
"3","Gammaridae","Insecticide_TUs",-0.693,"0.1706",17,-4.0616,8e-04,"***"
"4","Gammaridae","SRP",0.332,"0.1441",17,2.3044,0.0341,"*"
"5","Gammaridae","DIN",0.5171,"0.1628",17,3.1761,0.0055,"**"
"6","SRP","WW_fraction",0.6956,"0.1001",19,6.9478,0,"***"
"7","Insecticide_TUs","WW_fraction",0.6588,"0.0984",19,6.6962,0,"***"
"8","Insecticide_TUs","Cropping",0.3434,"0.136",17,2.5257,0.0218,"*"
"9","NonInsecticide_TUs","WW_fraction",0.8115,"0.0852",19,9.5207,0,"***"
"10","DIN","WW_fraction",0.4377,"0.055",19,7.9515,0,"***"
"11","DIN","Cropping",0.8169,"0.0919",17,8.8888,0,"***"
"12","~~NonInsecticide_TUs","~~Insecticide_TUs",0.4031,"-",40,2.6794,0.0055,"**"
"13","~~SRP","~~NonInsecticide_TUs",0.5542,"-",40,4.0501,1e-04,"***"
"14","~~DIN","~~NonInsecticide_TUs",0.0297,"-",40,0.1806,0.4288,""
"15","~~DIN","~~Insecticide_TUs",0.3014,"-",40,1.923,0.0311,"*"
"16","~~SRP","~~Insecticide_TUs",0.1825,"-",40,1.1288,0.1331,""
"17","~~DIN","~~SRP",0.1573,"-",40,0.9691,0.1694,""
