Location,Site,Year,Q347IIK,QTW,DF_int,DF_fin,DF_coeff,Input
D,BUT,2013,23.4,19,1.23,1.2316,0.1107,1
U1,BUT,2013,23.4,0,0,0,0,0
U2,BUT,2013,23.4,0,0,0,0,0
D,COL,2013,16.9,4,4.23,1.1888,0.1626,1
U1,COL,2013,16.9,0,0,0,0,0
U2,COL,2013,16.9,0,0,0,0,0
D,DUR,2013,60,75,0.8,0.8,0.186,1
U1,DUR,2013,60,0,0,0,0,0
U2,DUR,2013,60,0,0,0,0,0
D,HER,2013,130,170,0.76,0.7647,0.2848,1
U1,HER,2013,130,0,0,0,0,0
U2,HER,2013,130,0,0,0,0,0
D,HOC,2013,172.1,170,1.01,1.0124,0.23,1
U1,HOC,2013,172.1,0,0,0,0,0
U2,HOC,2013,172.1,0,0,0,0,0
D,HOR,2013,19.5,20,0.98,0.975,0.1028,1
U1,HOR,2013,19.5,0,0,0,0,0
U2,HOR,2013,19.5,0,0,0,0,0
D,KER,2013,362,248,1.46,1.4597,0.2477,1
U1,KER,2013,362,0,0,0,0,0
U2,KER,2013,362,0,0,0,0,0
D,MES,2013,121.3,36,3.37,3.3694,0.0539,1
U1,MES,2013,121.3,0,0,0,0,0
U2,MES,2013,121.3,0,0,0,0,0
D,NIE,2013,113.6,65,1.75,1.7477,0.0977,1
U1,NIE,2013,113.6,0,0,0,0,0
U2,NIE,2013,113.6,0,0,0,0,0
D,ROM,2013,208.8,118,1.77,1.7695,0.0728,1
U1,ROM,2013,208.8,0,0,0,0,0
U2,ROM,2013,208.8,0,0,0,0,0
D,ROT,2013,37.3,11,3.39,3.3909,0.0268,1
U1,ROT,2013,37.3,0,0,0,0,0
U2,ROT,2013,37.3,0,0,0,0,0
D,SEV,2013,15.5,6,2.58,2.5833,0.0371,1
U1,SEV,2013,15.5,0,0,0,0,0
U2,SEV,2013,15.5,0,0,0,0,0
D,AAD,2014,185.3,135,1.37,1.3726,0.1771,1
U1,AAD,2014,185.3,0,0,0,0,0
U2,AAD,2014,185.3,0,0,0,0,0
D,BIR,2014,162,230,0.7,0.7043,0.1876,1
U1,BIR,2014,162,0,0,0,0,0
U2,BIR,2014,162,0,0,0,0,0
D,ELG,2014,38.1,36,1.06,1.0583,0.1154,1
U1,ELG,2014,38.1,0,0,0,0,0
U2,ELG,2014,38.1,0,0,0,0,0
D,ELL,2014,71.5,62,1.15,1.1532,0.1985,1
U1,ELL,2014,71.5,0,0,0,0,0
U2,ELL,2014,71.5,0,0,0,0,0
D,KNO,2014,42.1,60,0.7,0.7017,0.2327,1
U1,KNO,2014,42.1,0,0,0,0,0
U2,KNO,2014,42.1,0,0,0,0,0
D,MAR,2014,59.1,40,1.48,1.4775,0.179,1
U1,MAR,2014,59.1,0,0,0,0,0
U2,MAR,2014,59.1,0,0,0,0,0
D,MUR,2014,69.1,70,0.99,0.9871,0.2768,1
U1,MUR,2014,69.1,0,0,0,0,0
U2,MUR,2014,69.1,0,0,0,0,0
D,REI,2014,289.9,200,1.45,1.4495,0.2563,1
U1,REI,2014,289.9,0,0,0,0,0
U2,REI,2014,289.9,0,0,0,0,0
D,UNT,2014,159.9,120,1.33,1.3325,0.2483,1
U1,UNT,2014,159.9,0,0,0,0,0
U2,UNT,2014,159.9,0,0,0,0,0
D,VAL,2014,23.5,9,2.59,1.1888,0.3868,1
U1,VAL,2014,23.5,0,0,0,0,0
U2,VAL,2014,23.5,0,0,0,0,0
D,VIL,2014,145.1,140,1.04,1.0364,0.1307,1
U1,VIL,2014,145.1,0,0,0,0,0
U2,VIL,2014,145.1,0,0,0,0,0
D,ZUL,2014,22.6,19,1.19,1.1895,0.175,1
U1,ZUL,2014,22.6,0,0,0,0,0
U2,ZUL,2014,22.6,0,0,0,0,0
