Year,Site_name,Site,Location,TSS,pORG,DEPTH,FLOW,WIDTH,DISCHARGE
2013,Buttisholz,BUT,D,431,8.93,0.27,0.27,2.4,0.171
2013,Buttisholz,BUT,U1,174,8.79,0.15,0.31,1.6,0.076
2013,Buttisholz,BUT,U2,243,8.72,0.17,0.34,2,0.113
2013,Colombier,COL,D,287,11.09,0.12,0.18,2.6,0.054
2013,Colombier,COL,U1,413,9.57,0.12,0.12,3,0.045
2013,Colombier,COL,U2,524,9.69,0.14,0.09,3,0.036
2013,Duernten,DUR,D,351,11.86,0.19,0.44,5.4,0.44
2013,Duernten,DUR,U1,209,9.28,0.29,0.34,3.2,0.311
2013,Duernten,DUR,U2,279,9.4,0.39,0.31,3.4,0.413
2013,Herisau,HER,D,289,8.89,0.36,0.51,4.2,0.757
2013,Herisau,HER,U1,293,6.77,0.22,0.29,6.8,0.43
2013,Herisau,HER,U2,155,9.63,0.27,0.28,4.2,0.315
2013,Hochdorf,HOC,D,165,10.93,0.38,0.13,3.6,0.178
2013,Hochdorf,HOC,U1,221,8.14,0.16,0.22,4,0.143
2013,Hochdorf,HOC,U2,329,11.67,0.25,0.18,4,0.174
2013,Hornussen,HOR,D,250,14.84,0.28,0.04,5.8,0.066
2013,Hornussen,HOR,U1,299,12.44,0.21,0.02,5.4,0.018
2013,Hornussen,HOR,U2,277,9.88,0.2,0.01,4.6,0.01
2013,Kernenried,KER,D,202,15.24,0.38,0.63,4.8,1.147
2013,Kernenried,KER,U1,320,10.36,0.37,0.41,3.8,0.572
2013,Kernenried,KER,U2,229,10.88,0.33,0.51,3.8,0.645
2013,Messen,MES,D,524,12.44,0.51,0.21,2.4,0.261
2013,Messen,MES,U1,797,12.25,0.64,0.16,2.2,0.219
2013,Messen,MES,U2,1228,12.88,0.53,0.14,2.4,0.183
2013,Niederdorf,NIE,D,87,12.82,0.17,0.39,4.4,0.303
2013,Niederdorf,NIE,U1,288,11.64,0.22,0.23,4.8,0.238
2013,Niederdorf,NIE,U2,303,10.04,0.17,0.37,4.2,0.267
2013,Romont,ROM,D,235,11.29,0.32,0.41,4.8,0.63
2013,Romont,ROM,U1,316,10.47,0.33,0.37,4.8,0.586
2013,Romont,ROM,U2,295,12.08,0.3,0.62,3,0.569
2013,Rothenthurm,ROT,D,299,10.41,0.16,0.36,3.8,0.221
2013,Rothenthurm,ROT,U1,178,9.45,0.32,0.32,3.6,0.369
2013,Rothenthurm,ROT,U2,80,10.65,0.17,0.62,2.2,0.228
2013,Severy,SEV,D,94,19.67,0.06,0.21,2,0.025
2013,Severy,SEV,U1,68,17.34,0.07,0.11,1.6,0.012
2013,Severy,SEV,U2,94,14.65,0.17,0.05,2.2,0.019
2014,Aadorf,AAD,D,134,15.07,0.38,0.22,1.4,0.126
2014,Aadorf,AAD,U1,478,7.71,0.48,0.2,1.3,0.101
2014,Aadorf,AAD,U2,393,6.18,0.48,0.2,1.3,0.101
2014,Birmensdorf,BIR,D,286,5.68,0.33,0.22,5.3,0.395
2014,Birmensdorf,BIR,U1,223,5.64,0.26,0.23,5.75,0.368
2014,Birmensdorf,BIR,U2,385,5.43,0.26,0.23,5.75,0.368
2014,Elgg,ELG,D,118,10.02,0.41,0.32,6.6,0.851
2014,Elgg,ELG,U1,619,7.23,0.27,0.45,3.3,0.412
2014,Elgg,ELG,U2,371,7.47,0.27,0.45,3.3,0.412
2014,Ellikon,ELL,D,994,5.12,0.13,0.42,3.55,0.197
2014,Ellikon,ELL,U1,965,5.02,0.24,0.17,3.2,0.143
2014,Ellikon,ELL,U2,598,5.81,0.24,0.17,3.2,0.143
2014,Knonau,KNO,D,177,11.21,0.21,0.24,4.7,0.259
2014,Knonau,KNO,U1,192,10.73,0.19,0.2,3.4,0.172
2014,Knonau,KNO,U2,221,7.6,0.19,0.2,3.4,0.172
2014,Marthalen,MAR,D,669,5.31,0.33,0.24,3.3,0.268
2014,Marthalen,MAR,U1,557,7.82,0.23,0.33,2.4,0.182
2014,Marthalen,MAR,U2,604,7.87,0.23,0.33,2.4,0.182
2014,Muri,MUR,D,351,11.51,0.21,0.39,3,0.263
2014,Muri,MUR,U1,354,8.5,0.23,0.26,3.88,0.224
2014,Muri,MUR,U2,315,9.34,0.23,0.26,3.88,0.224
2014,Reinach,REI,D,248,12.51,0.28,0.55,5.9,0.865
2014,Reinach,REI,U1,389,7.79,0.27,0.46,5.25,0.596
2014,Reinach,REI,U2,193,8.16,0.27,0.46,5.25,0.596
2014,Unterehrendingen,UNT,D,441,8.6,0.26,0.39,3.8,0.389
2014,Unterehrendingen,UNT,U1,550,7.03,0.29,0.34,3.2,0.312
2014,Unterehrendingen,UNT,U2,652,8.16,0.29,0.34,3.2,0.312
2014,Val_de_Ruz,VAL,D,425,10.76,0.26,0.22,3.9,0.296
2014,Val_de_Ruz,VAL,U1,448,10.66,0.23,0.19,4,0.24
2014,Val_de_Ruz,VAL,U2,826,10.59,0.23,0.19,4,0.24
2014,Villeret,VIL,D,154,13.79,0.22,0.45,7,0.595
2014,Villeret,VIL,U1,88,14.22,0.15,0.44,4.8,0.4
2014,Villeret,VIL,U2,118,13.96,0.15,0.44,4.8,0.4
2014,Zullwil,ZUL,D,83,21.4,0.18,0.17,1.9,0.101
2014,Zullwil,ZUL,U1,228,9.39,0.19,0.11,2.4,0.073
2014,Zullwil,ZUL,U2,201,8.68,0.24,0.13,2.4,0.073
